ADRB1	ARRB2
ARRB2	MAPK1
MAPK1	SP1
MAPK1	HSF1
MAPK1	CEBPB
ARRB2	FLNA
FLNA	REL
ARRB2	CAPN1
CAPN1	STAT3
ADRB2	STAT3
STAT3	SP1
ADRB2	HSPA1A
HSPA1A	HSF1
ADRB2	HNRNPK
HNRNPK	CEBPB
ADRB2	REL
HTR1A	S1PR1
S1PR1	WWP2
WWP2	SMAD3
SMAD3	SP1
S1PR1	GNAI3
GNAI3	YWHAQ
YWHAQ	HSPB1
HSPB1	HSF1
SMAD3	CEBPB
GNAI3	NUCB1
NUCB1	REL
GNAI3	GNB2
GNB2	STAT3
HTR1B	MDFI
MDFI	VHL
VHL	SP1
MDFI	KAT5
KAT5	UBE2I
UBE2I	HSF1
KAT5	EP300
EP300	CEBPB
MDFI	PRKAB2
PRKAB2	REL
MDFI	MYOD1
MYOD1	STAT3
HSF1	HSPA8
CEBPB	CSRP1
REL	CSRP1
STAT3	CSRP1
SP1	HSPA8
