ADRA1B	AP2M1
AP2M1	CLTC
CLTC	EP300
EP300	NFKB1
AP2M1	HSPA8
HSPA8	RELA
AP2M1	AP1G1
AP1G1	JUN
AP2M1	EEF1A1
EEF1A1	FUS
FUS	SPI1
EP300	CEBPB
ADRA1D	GOPC
GOPC	RELA
RELA	NFKB1
RELA	JUN
GOPC	CDC42
CDC42	VAV1
VAV1	SPI1
RELA	CEBPB
ADRA2A	UCHL1
UCHL1	COPS5
COPS5	NFKB1
ADRA2A	GNAI2
GNAI2	NPM1
NPM1	RELA
GNAI2	ITCH
ITCH	JUN
ADRA2A	GNAO1
GNAO1	OPRM1
OPRM1	ARF1
ARF1	SPI1
ITCH	SMAD3
SMAD3	CEBPB
ADRA2B	UCHL1
UCHL1	TP53
TP53	RELA
UCHL1	UBE2I
UBE2I	JUN
ADRA2B	EIF2B1
EIF2B1	GORASP2
GORASP2	NONO
NONO	SPI1
EIF2B1	HNRNPL
HNRNPL	HNRNPK
HNRNPK	CEBPB
ADRA2C	UCHL1
ADRA2C	EIF2B1
ADRB1	ARRB2
ARRB2	NFKBIA
NFKBIA	NFKB1
ARRB2	PRMT5
PRMT5	RELA
ARRB2	MAP2K4
MAP2K4	JUN
ARRB2	NONO
ARRB2	MAPK1
MAPK1	CEBPB
ADRB2	STAT3
STAT3	NFKB1
STAT3	RELA
STAT3	JUN
STAT3	PML
PML	SPI1
ADRB2	HNRNPK
ADRB3	SRC
SRC	STAT3
SRC	HDAC3
HDAC3	SPI1
SRC	EGFR
EGFR	CEBPB
NFKB1	FIGF
RELA	FIGF
JUN	FIGF
NFKB1	CEBPB
RELA	CEBPB
CEBPB	ICAM1
JUN	ICAM1
NFKB1	ICAM1
RELA	ICAM1
SPI1	ICAM1
JUN	MGP
