DRD1	RANBP9
RANBP9	NR3C1
NR3C1	NFKB1
NR3C1	JUN
RANBP9	ESR1
ESR1	SP1
ESR1	HIF1A
DRD5	GNA13
GNA13	MAP3K5
MAP3K5	EP300
EP300	NFKB1
GNA13	PTK2B
PTK2B	VAV1
VAV1	JUN
DRD5	GNA12
GNA12	HSP90AA1
HSP90AA1	SP1
HSP90AA1	HIF1A
DRD2	FLNA
FLNA	REL
REL	NFKB1
FLNA	RBM39
RBM39	JUN
DRD2	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	SP1
DRD2	EPB41L1
EPB41L1	COPS5
COPS5	HIF1A
ADRA2A	UCHL1
UCHL1	COPS5
COPS5	NFKB1
ADRA2A	GNAI2
GNAI2	ITCH
ITCH	JUN
UCHL1	CTNNB1
CTNNB1	SP1
CTNNB1	HIF1A
HTR2A	CBL
CBL	HSPA4
HSPA4	NFKB1
CBL	SMAD3
SMAD3	JUN
CBL	CTNNB1
NFKB1	TRAF3
JUN	IL12A
NFKB1	IL12A
HIF1A	ABCB1
JUN	ABCB1
NFKB1	ABCB1
SP1	ABCB1
