ACHE	COL1A1
COL1A1	UBL4A
UBL4A	NCL
NCL	SP1
COL1A1	IGFBP3
IGFBP3	IGF1R
IGF1R	TP53
TP53	EGR1
IGF1R	CSK
CSK	JUN
UBL4A	NPM1
NPM1	TFAP2A
UBL4A	C1QBP
C1QBP	CEBPA
UBL4A	FUS
FUS	SPI1
IGFBP3	FN1
FN1	UBE2L3
UBE2L3	FOS
COL1A1	ITGB1
ITGB1	TUBA1A
TUBA1A	MYC
TP53	ETS1
UBL4A	HNRNPK
HNRNPK	CEBPB
ITGB1	PTK2
PTK2	SAE1
SAE1	ETV4
UBL4A	TXN
TXN	NFKB1
ITGB1	NME1
NME1	GATA1
GATA1	FLI1
CHRNA1	CHRNG
CHRNG	KRT31
KRT31	HDAC4
HDAC4	SP1
KRT31	SNAI1
SNAI1	EGR1
KRT31	PIN1
PIN1	JUN
KRT31	TSG101
TSG101	TP53
TSG101	EP300
EP300	TFAP2A
TSG101	CDKN1A
CDKN1A	CEBPA
TSG101	NONO
NONO	SPI1
EP300	FOS
CHRNG	ACTL6B
ACTL6B	APP
APP	MYC
EP300	ETS1
EP300	CEBPB
HDAC4	ATXN1
ATXN1	ETV4
HDAC4	NFKB1
KRT31	LMO4
LMO4	BRCA1
BRCA1	FLI1
CHRND	CHRNA1
CHRNE	CHRNA1
CHRNA3	Ubqln1
Ubqln1	Bcr
Bcr	Rac1
Rac1	Mapk1
Mapk1	TP53
TP53	SP1
Mapk1	HIF1A
HIF1A	JUN
TP53	TFAP2A
Mapk1	Atf2
Atf2	CEBPA
Rac1	Traf6
Traf6	1-Dec
1-Dec	NONO
Traf6	ECSIT
ECSIT	RELA
RELA	FOS
Traf6	Ubc
Ubc	MYC
Rac1	dsh
dsh	MED23
MED23	CEBPB
Traf6	Akt1
Akt1	HTT
HTT	ETV4
ECSIT	NFKB1
Traf6	UBE2D3
UBE2D3	BRCA1
CHRNA4	YWHAH
YWHAH	YWHAZ
YWHAZ	CTNNB1
CTNNB1	SP1
YWHAZ	TP53
YWHAH	ABL1
ABL1	JUN
YWHAZ	NFATC4
NFATC4	CEBPA
YWHAH	CBL
CBL	MAPK8
MAPK8	SPI1
ABL1	FOS
YWHAH	PAK2
PAK2	MYC
YWHAH	HNRNPK
YWHAZ	RFWD2
RFWD2	ETV4
YWHAZ	COPS5
COPS5	NFKB1
YWHAZ	PRKCD
PRKCD	FLI1
CHRNA7	FYN
FYN	CTNNB1
FYN	IL1B
IL1B	EGR1
FYN	BCL3
BCL3	JUN
FYN	NR3C1
NR3C1	TP53
BCL3	EP300
BCL3	FOS
FOS	CEBPA
FYN	VAV1
VAV1	SPI1
FYN	HSP90AA1
HSP90AA1	MYC
FYN	GNB2L1
GNB2L1	TP63
TP63	ETV4
BCL3	NFKB1
BCL3	CTBP2
CTBP2	FLI1
CHRNA9	POM121
POM121	BRCA1
BRCA1	SP1
CHRNA9	CHEK1
CHEK1	RELA
RELA	EGR1
BRCA1	JUN
CHEK1	TP53
BRCA1	TFAP2A
CHEK1	CDKN1A
CHRNA9	YKT6
YKT6	ARF1
ARF1	SPI1
CHRNA9	EIF2AK3
EIF2AK3	NFE2L2
NFE2L2	MYC
BRCA1	ETS1
BRCA1	CEBPB
CHRNA9	RER1
RER1	HAP1
HAP1	HTT
CHRNA9	KIF5B
KIF5B	COPS5
CHRNB3	TYRO3
TYRO3	SRC
SRC	STAT3
STAT3	SP1
SRC	CREBBP
CREBBP	EGR1
STAT3	JUN
SRC	TP53
STAT3	CDKN1A
SRC	HDAC3
HDAC3	SPI1
CREBBP	FOS
CREBBP	MYC
CREBBP	ETS1
SRC	EGFR
EGFR	CEBPB
SRC	GRB2
GRB2	HTT
STAT3	NFKB1
TYRO3	PIK3R1
PIK3R1	BRCA1
CHRNB4	Ubqln1
TP53	BAX
ETS1	MMP2
FOS	MMP2
JUN	MMP2
MYC	MMP2
SP1	ADA
EGR1	CD9
SP1	CD9
CEBPB	CSRP1
JUN	CYP11A1
NFKB1	CYP11A1
SP1	CYP11A1
TFAP2A	CYP11A1
SP1	GYPC
SP1	KRT18
JUN	MAT2A
NFKB1	MAT2A
SP1	MAT2A
CEBPA	MMP2
ETV4	MMP2
FLI1	MMP2
SP1	MMP2
SPI1	MMP2
TFAP2A	MMP2
TP53	MMP2
