PDE4A	SQSTM1
SQSTM1	MAPK1
MAPK1	JUN
MAPK1	SP1
SQSTM1	CUL3
CUL3	NFKB1
SQSTM1	PRKCZ
PRKCZ	RELA
SQSTM1	MAPK14
MAPK14	CREB1
SQSTM1	YWHAZ
YWHAZ	TNFAIP3
TNFAIP3	NFKB2
YWHAZ	NFATC4
NFATC4	CEBPA
MAPK1	CEBPB
SQSTM1	NCOR1
NCOR1	PPARA
YWHAZ	RFWD2
RFWD2	ETV4
PDE4B	MAGEA11
MAGEA11	EP300
EP300	JUN
EP300	SP1
EP300	NFKB1
EP300	RELA
EP300	CREB1
MAGEA11	NR3C1
NR3C1	NFKB2
MAGEA11	MTA1
MTA1	CEBPA
EP300	CEBPB
PDE4B	RCBTB2
RCBTB2	UBE2I
UBE2I	PPARA
EP300	TP63
TP63	ETV4
PDE4D	MDM2
MDM2	JUN
PDE4D	APP
APP	MAPK8
MAPK8	SP1
APP	GSK3B
GSK3B	NFKB1
MDM2	RELA
APP	KAT5
KAT5	CREB1
PDE4D	ARRB2
ARRB2	NFKBIA
NFKBIA	NFKB2
MAPK8	CEBPA
GSK3B	CEBPB
APP	AKAP13
AKAP13	PPARA
PDE4D	GNB2L1
GNB2L1	TP63
PDE4C	SRI
SRI	STAT3
STAT3	JUN
STAT3	SP1
STAT3	NFKB1
STAT3	RELA
STAT3	EP300
STAT3	NFKB2
STAT3	CDKN1A
CDKN1A	CEBPA
RELA	PPARA
SRI	TCF12
TCF12	SMAD2
SMAD2	ETV4
PGD	SUMO3
SUMO3	PML
PML	JUN
PML	SP1
SUMO3	RL2
RL2	NFKB1
PGD	GDI1
GDI1	RAC3
RAC3	RELA
PGD	RPS6KA1
RPS6KA1	CREB1
PGD	P4HB
P4HB	VCP
VCP	NFKB2
PGD	GNAI3
GNAI3	YWHAQ
YWHAQ	CDKN1A
RPS6KA1	ESR1
ESR1	CEBPB
SUMO3	UBE2I
SUMO3	UBA2
UBA2	ETV4
IFNG	ICAM1
NFKB1	GADD45B
NFKB2	ICAM1
RELA	GADD45B
PPARA	GADD45B
JUN	GJA1
SP1	GJA1
CEBPA	ICAM1
CEBPB	ICAM1
CREB1	ICAM1
JUN	ICAM1
NFKB1	ICAM1
RELA	ICAM1
SP1	TPI1
ETV4	VIM
