HTR2A	CBL
CBL	CTNNB1
CTNNB1	PPARG
CBL	SRC
SRC	RXRA
PPARG	RXRB
PPARG	RXRG
CBL	HSPA4
HSPA4	NFKB1
CBL	MAPK8
MAPK8	PAX2
CBL	SMAD3
SMAD3	JUN
SMAD3	FOS
MAPK8	MYC
CBL	EGFR
EGFR	STAT1
CTNNB1	HIF1A
CBL	HSPA8
HSPA8	RELA
CBL	GRB2
GRB2	EP300
EP300	ETS1
EGFR	STAT3
DRD2	FLNA
FLNA	ITGB1
ITGB1	PRKCA
PRKCA	PPARG
FLNA	LMNA
LMNA	PML
PML	RXRA
FLNA	RANBP2
RANBP2	AKAP13
AKAP13	RXRB
FLNA	ITGB3
ITGB3	ITGB3BP
ITGB3BP	RXRG
FLNA	REL
REL	NFKB1
LMNA	RB1
RB1	PAX2
FLNA	RBM39
RBM39	JUN
PML	FOS
DRD2	EPB41L1
EPB41L1	APP
APP	MYC
DRD2	PAWR
PAWR	STAT1
EPB41L1	COPS5
COPS5	HIF1A
REL	RELA
REL	EP300
STAT1	STAT3
HIF1A	FIGF
HIF1A	VEGFB
NFKB1	FIGF
NFKB1	VEGFB
RELA	FIGF
RELA	VEGFB
STAT1	FIGF
STAT1	VEGFB
STAT3	FIGF
STAT3	VEGFB
ETS1	FIGF
ETS1	VEGFB
FOS	FIGF
FOS	VEGFB
JUN	FIGF
JUN	VEGFB
MYC	FIGF
MYC	VEGFB
PPARG	ACSBG1
PPARG	GK2
PPARG	ACSBG2
RXRA	ACSBG1
RXRA	GK2
RXRA	ACSBG2
RXRB	ACSBG1
RXRB	GK2
RXRB	ACSBG2
RXRG	ACSBG1
RXRG	GK2
RXRG	ACSBG2
MYC	TP53
FOS	TP53
HIF1A	TP53
JUN	TP53
NFKB1	TP53
PAX2	TP53
STAT1	TP53
ETS1	VWF
NFKB1	VWF
