DRD1	RANBP9
RANBP9	ESR1
ESR1	SMURF1
SMURF1	NFIC
ESR1	SP1
RANBP9	NR3C1
NR3C1	NFKB1
NR3C1	CREB1
ESR1	TP53
RANBP9	UBE2I
UBE2I	PPARA
NR3C1	JUN
NR3C1	PPARG
DRD5	GNA12
GNA12	HSP90AA1
HSP90AA1	NFIC
HSP90AA1	SP1
DRD5	GNA13
GNA13	MAP3K5
MAP3K5	EP300
EP300	NFKB1
EP300	CREB1
HSP90AA1	TP53
HSP90AA1	PPARA
GNA13	PTK2B
PTK2B	VAV1
VAV1	JUN
EP300	PPARG
HSP90AA1	ESR1
DRD2	CALM1
CALM1	HSP90AA1
DRD2	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	SP1
DRD2	FLNA
FLNA	REL
REL	NFKB1
PPP1R9B	PPP1CA
PPP1CA	CREB1
FLNA	RANBP2
RANBP2	TP53
FLNA	RBM39
RBM39	JUN
FLNA	ITGB1
ITGB1	PRKCA
PRKCA	PPARG
CALM1	ESR1
DRD3	EPB41L1
EPB41L1	COPS3
COPS3	HSP90AA1
DRD3	GIPC1
GIPC1	MCM7
MCM7	RB1
RB1	SP1
EPB41L1	COPS5
COPS5	NFKB1
MCM7	FHL2
FHL2	CREB1
COPS5	TP53
GIPC1	OGT
OGT	RELA
RELA	PPARA
COPS5	JUN
RB1	PPARG
GIPC1	MMS19
MMS19	ESR1
DRD4	GRB2
GRB2	HSP90AA1
DRD4	ARRB2
ARRB2	MAPK1
MAPK1	SP1
ARRB2	NFKBIA
NFKBIA	NFKB1
ARRB2	AKT1
AKT1	CREB1
DRD4	STUB1
STUB1	TP53
ARRB2	CDK3
CDK3	PPARA
ARRB2	MAP2K4
MAP2K4	JUN
ARRB2	XRCC6
XRCC6	PPARG
STUB1	ESR1
TP53	GADD45A
NFIC	ALAS1
TP53	APCS
CREB1	ARG1
NFIC	ARG1
CREB1	CYP11A1
JUN	CYP11A1
NFIC	CYP11A1
NFKB1	CYP11A1
SP1	CYP11A1
ESR1	GADD45A
NFKB1	GADD45A
PPARA	GADD45A
PPARG	GADD45A
NFKB1	IL2RA
SP1	KRT18
NFKB1	LTA
