SLC18A1	APOB
APOB	SMAD3
SMAD3	JUN
SMAD3	EP300
EP300	CREB1
SMAD3	SMURF1
SMURF1	NFIC
APOB	VCP
VCP	TP53
EP300	NFKB1
SMAD3	PML
PML	PPARG
SMAD3	LEF1
PML	RXRA
SMAD3	NR3C1
NR3C1	RXRB
SMAD3	CUL1
CUL1	RXRG
PML	RELA
SMAD3	CTNNB1
CTNNB1	PPARD
SMAD3	SP1
TP53	GADD45G
LEF1	BIRC5
CREB1	PCNA
PPARD	ACADL
PPARD	LPL
PPARG	LPL
RXRA	ACADL
RXRA	LPL
RXRB	ACADL
RXRB	LPL
RXRG	ACADL
RXRG	LPL
PPARG	SAT1
LEF1	ADA
NFIC	ADA
SP1	ADA
TP53	BAK1
CREB1	F3
JUN	F3
NFKB1	F3
RELA	F3
TP53	PCNA
TP53	PLK1
CREB1	POLD2
JUN	POLD2
NFIC	POLD2
JUN	TNNC1
NFKB1	TNNC1
