ADRA1B	AP2M1
AP2M1	SFPQ
SFPQ	SP1
AP2M1	NUMB
NUMB	GLI1
SFPQ	HDAC1
HDAC1	GLI2
HDAC1	GLI3
AP2M1	CLTC
CLTC	EP300
EP300	CREB1
AP2M1	HSPA8
HSPA8	UBE3A
UBE3A	CEBPA
ADRA1D	DTNA
DTNA	NUP62
NUP62	SP1
DTNA	ACTB
ACTB	KAT2B
KAT2B	GLI1
ADRA1D	GOPC
GOPC	RELA
RELA	HDAC1
ADRA1D	SNTB2
SNTB2	ABCA1
ABCA1	CREBBP
CREBBP	GLI3
ADRA1D	AMFR
AMFR	ATXN3
ATXN3	CREB1
GOPC	CDC42
CDC42	KAT5
KAT5	CEBPA
ADRA2A	UCHL1
UCHL1	CTNNB1
CTNNB1	SP1
ADRA2A	GNAI2
GNAI2	ITCH
ITCH	GLI1
GNAI2	NPM1
NPM1	HDAC1
UCHL1	TP53
TP53	CREB1
UCHL1	CDK4
CDK4	CEBPA
ADRA2B	UCHL1
CDK4	GLI1
CTNNB1	HDAC1
CTNNB1	CREBBP
ADRA2C	UCHL1
ADRB1	ARRB2
ARRB2	MAPK1
MAPK1	SP1
ARRB2	HDAC2
HDAC2	GLI1
ARRB2	AKT1
AKT1	SKI
SKI	GLI2
ARRB2	RALGDS
RALGDS	KRAS
KRAS	GLI3
AKT1	CREB1
ARRB2	C1QBP
C1QBP	CEBPA
ADRB2	STAT3
STAT3	SP1
ADRB2	VHL
VHL	GLI1
STAT3	HDAC1
ADRB2	MAPK14
MAPK14	CREB1
ADRB2	C1QBP
ADRB3	SRC
SRC	STAT3
STAT3	HDAC2
SRC	CREBBP
CREBBP	CREB1
STAT3	CDKN1A
CDKN1A	CEBPA
GLI1	WNT2
GLI2	WNT2
GLI3	WNT2
CEBPA	TWF2
CREB1	TWF2
SP1	APEX1
CREB1	NTS
