HTR2A	CBL
CBL	CTNNB1
CTNNB1	PPARG
DRD2	FLNA
FLNA	ITGB1
ITGB1	PRKCA
PRKCA	PPARG
HTR1A	S1PR1
S1PR1	GNAI3
GNAI3	XPO1
XPO1	PPARG
HTR1B	MDFI
MDFI	PIN1
PIN1	PPARG
HTR1D	HTR1B
HTR1E	MEOX2
MEOX2	RELA
RELA	PPARG
HTR2C	DLG4
DLG4	PRKCA
HTR6	CDK5
CDK5	PPARG
HTR7	CUL3
CUL3	CTNNB1
DRD1	RANBP9
RANBP9	NR3C1
NR3C1	PPARG
DRD5	GNA13
GNA13	MAP3K5
MAP3K5	EP300
EP300	PPARG
DRD3	GIPC1
GIPC1	MCM7
MCM7	RB1
RB1	PPARG
DRD4	ARRB2
ARRB2	XRCC6
XRCC6	PPARG
ADRA1B	AP2M1
AP2M1	SFPQ
SFPQ	PPARG
ADRA1D	GOPC
GOPC	RELA
ADRA2A	UCHL1
UCHL1	CTNNB1
ADRA2B	UCHL1
ADRA2C	UCHL1
CHRM1	GPRASP2
GPRASP2	LRIF1
LRIF1	PPARG
CHRM2	SET
SET	NR3C1
CHRM3	SET
