SCN2A	ANK3
ANK3	KCNC1
KCNC1	CAMK2A
CAMK2A	CREB1
ANK3	TIAM1
TIAM1	BTRC
BTRC	NFKB1
BTRC	RELA
TIAM1	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	EGR1
TIAM1	CSNK1E
CSNK1E	NCOA3
NCOA3	CEBPA
BTRC	SP1
TIAM1	RAC1
RAC1	PIAS3
PIAS3	SMAD3
RELA	PPARA
TIAM1	MAPK8IP1
MAPK8IP1	JUN
BTRC	ELAVL1
ELAVL1	NFIC
BTRC	TP53
NCOA3	ETS1
BTRC	EP300
EP300	FOS
NCOA3	RXRA
RAC1	SFPQ
SFPQ	NR3C1
NR3C1	RXRB
BTRC	NCOR2
NCOR2	RXRG
RAC1	HIST1H3A
HIST1H3A	CREBBP
CDKN2A	HIF1A
EP300	ARNT
BTRC	MYC
CAMK2A	ATF1
BTRC	SMAD4
PPP1R9B	PPP1CC
PPP1CC	ESR1
FOS	MMP9
NFKB1	MMP9
RELA	MMP9
TP53	CDKN1B
CREBBP	CDKN1B
CREBBP	HK3
CREBBP	NPPA
CREBBP	PFKFB1
EP300	CDKN1B
EP300	HK3
EP300	NPPA
EP300	PFKFB1
HIF1A	CDKN1B
HIF1A	HK3
HIF1A	NPPA
HIF1A	PFKFB1
ARNT	CDKN1B
ARNT	HK3
ARNT	NPPA
ARNT	PFKFB1
SMAD3	CTGF
SMAD4	CTGF
NFKB1	CCL4
RELA	CCL4
TP53	SERPINB5
ETS1	MMP9
JUN	MMP9
MYC	MMP9
PPARA	CYP4A11
PPARA	HMGCS2
RXRA	CYP4A11
RXRA	HMGCS2
RXRB	CYP4A11
RXRB	HMGCS2
RXRG	CYP4A11
RXRG	HMGCS2
FOS	CCL4
JUN	CCL4
CREB1	AQP2
CREB1	TINAGL1
NFIC	TINAGL1
ATF1	AQP3
CREB1	AQP3
ATF1	CGA
CREB1	CGA
ESR1	CGA
NFIC	CGA
ETS1	CSNK2B
SP1	CTGF
CEBPA	FN1
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
NFKB1	LTA
PPARA	MMP9
SMAD3	MMP9
SP1	MMP9
JUN	NPPA
