PDE4A	SQSTM1
PPARG	RXRG
UBE2I	PPARA
EP300	CTNNB1
EP300	PLSCR1
PLSCR1	DAZAP2
MAGEA11	AR
AR	TCF7L2
EP300	NCOA1
NCOA1	TEAD1
MAGEA11	TRIM27
TRIM27	TEAD4
E2F1	TEAD3
EP300	BRCA1
BRCA1	ATF1
PDE4D	APP
APP	GSK3B
GSK3B	NFKB1
PDE4D	ARRB2
ARRB2	TRIM28
TRIM28	E2F4
APP	MYC
MYC	TFAP2A
PDE4D	LYN
LYN	CREBBP
CREBBP	ETS2
PDE4D	ARRB1
ARRB1	HSP90AA1
APP	ELK1
PDE4D	MDM2
MDM2	E2F1
PDE4D	GNB2L1
GNB2L1	RB1
TRIM28	E2F3
APP	HSPA8
HSPA8	POU2F1
MDM2	RELA
APP	MAPK7
MAPK7	ETS1
GNB2L1	TP73
APP	MAPK8
MAPK8	SP1
MDM2	JUN
LYN	TP53
APP	KAT5
KAT5	CREB1
CREBBP	EGR1
MAPK8	STAT3
ARRB2	STAT1
APP	TAF6
TAF6	YAP1
MAPK7	FOS
GNB2L1	TP63
MDM2	EP300
GNB2L1	HIF1A
RB1	ARNT
MAPK8	CEBPA
MAPK8	HSF1
APP	PHF8
PHF8	RARA
ARRB2	SFPQ
SFPQ	SP3
GSK3B	RXRA
APP	AKAP13
AKAP13	RXRB
MDM2	CUL1
AKAP13	PPARA
ARRB2	ALYREF
ALYREF	LEF1
APP	HGS
HGS	DAZAP2
APP	FBLN1
FBLN1	TCF7L2
MDM2	CTNNB1
HGS	INSR
INSR	TEAD1
MDM2	GOLGA2
GOLGA2	TEAD4
ARRB2	CSNK2A1
CSNK2A1	ATF1
PDE4C	SRI
SRI	STAT3
STAT3	NFKB1
STAT3	PML
PML	E2F4
STAT3	EP300
SRI	SOD1
SOD1	RFX1
RFX1	NFIC
STAT3	MAPK8
MAPK8	ELK1
EP300	E2F1
STAT3	RB1
STAT3	RELA
RELA	POU2F1
STAT3	SP1
STAT3	JUN
SRI	ANXA7
ANXA7	TP53
STAT3	STAT1
PML	MYC
PML	YAP1
PML	FOS
SRI	TCF12
TCF12	SMAD2
SMAD2	ETV4
TCF12	CREBBP
STAT3	HIF1A
PML	ARNT
STAT3	CDKN1A
CDKN1A	CEBPA
STAT3	SMARCA4
SMARCA4	HSF1
PML	RARA
PML	RXRA
PML	PPARG
PPARG	RXRB
PML	NCOR2
NCOR2	RXRG
RELA	PPARA
STAT3	SMAD1
SMAD1	LEF1
STAT3	MAP3K7
MAP3K7	DAZAP2
PML	TCF7L2
PML	CTNNB1
STAT3	NCOA1
EP300	GOLGA2
YAP1	TEAD3
CREBBP	ATF1
PGD	SUMO3
SUMO3	RL2
RL2	NFKB1
PGD	GNAI3
GNAI3	XPO1
XPO1	E2F4
GNAI3	GNAI2
GNAI2	NPM1
NPM1	TFAP2A
GNAI3	YWHAQ
YWHAQ	NCOA3
NCOA3	ETS2
PGD	RPS6KA1
RPS6KA1	HSP90AA1
SUMO3	UBE2I
YWHAQ	E2F1
XPO1	ELAVL1
ELAVL1	E2F2
PGD	EEF2
EEF2	HCFC1
HCFC1	E2F3
EEF2	XRCC6
XRCC6	POU2F1
PGD	GDI1
GDI1	RAC3
RAC3	RELA
UBE2I	ETS1
PGD	TALDO1
TALDO1	TP73
SUMO3	PML
PML	SP1
PML	JUN
PGD	P4HB
P4HB	SERPINH1
SERPINH1	TP53
RPS6KA1	CREB1
YWHAQ	PSMA3
PSMA3	EGR1
GNAI3	GNB2
GNB2	STAT3
XPO1	STAT1
TP73	MYC
SUMO3	UBA2
UBA2	ETV4
PML	CREBBP
TP73	EP300
P4HB	VCP
VCP	HIF1A
YWHAQ	CDKN1A
P4HB	CALU
CALU	HSF1
SUMO3	PIAS1
PIAS1	SP3
XPO1	PPARG
TALDO1	CFDP1
CFDP1	RUVBL1
RUVBL1	LEF1
GNAI2	PLSCR1
P4HB	PTN
PTN	CTNNB1
YAP1	TEAD1
GNAI3	GNG5
GNG5	GOLGA2
GNAI3	ALG6
ALG6	GEP3
GEP3	ATF1
NFKB1	BIRC2
RELA	BIRC2
E2F1	CCNE1
E2F2	CCNE1
E2F3	CCNE1
TP53	SFN
ELK1	BIRC2
ELK1	CCND3
JUN	CCND3
NFKB1	TNF
RELA	TNF
CREBBP	NOS3
CREBBP	TIMP1
CREBBP	VEGFC
EP300	NOS3
EP300	TIMP1
EP300	VEGFC
HIF1A	NOS3
HIF1A	TIMP1
HIF1A	VEGFC
ARNT	NOS3
ARNT	TIMP1
ARNT	VEGFC
YAP1	BBC3
YAP1	BIRC2
YAP1	CCND3
LEF1	BIRC2
LEF1	CCND3
TCF7	BIRC2
TCF7	CCND3
TCF7L2	BIRC2
TCF7L2	CCND3
TEAD1	BIRC2
TEAD1	CCND3
TEAD4	BIRC2
TEAD4	CCND3
TEAD3	BIRC2
TEAD3	CCND3
TP73	BBC3
TCF7L1	BIRC2
TCF7L1	CCND3
STAT1	CCND3
STAT3	CCND3
HSF1	HSPA1A
NFKB1	NFKBIA
NFKB1	PLAU
RELA	NFKBIA
RELA	PLAU
TP53	SERPINB5
TP53	CCNG2
NFKB1	VEGFC
RELA	VEGFC
STAT1	VEGFC
STAT3	VEGFC
ETS1	VEGFC
FOS	VEGFC
JUN	VEGFC
MYC	CKS1B
MYC	CKS2
MYC	VEGFC
PPARA	HMGCS2
PPARA	FADS2
RXRA	HMGCS2
RXRA	ILK
RXRA	FADS2
RXRB	HMGCS2
RXRB	ILK
RXRB	FADS2
RXRG	HMGCS2
RXRG	ILK
RXRG	FADS2
FOS	TNF
JUN	TNF
CEBPA	TWF2
CREB1	TWF2
ELK1	TWF2
ETS2	TWF2
SP1	CDK1
TP53	HSP90AB1
EGR1	CD44
SP1	CD44
SP1	CD99
E2F4	CDC45
E2F2	CDC45
E2F3	CDC45
E2F1	CDC45
E2F4	CDC6
E2F4	CDK1
ETS2	CDK1
RARA	CRABP2
MYC	DDX18
SP1	DKC1
SP3	DKC1
ATF1	ERBB2
CREB1	ERBB2
ELK1	ERBB2
ETV4	ERBB2
TFAP2A	ERBB2
TP53	ERBB2
NFIC	HSPA1A
TFAP2A	HSPA1A
NFKB1	IER3
SP1	KRT18
SP1	KRT5
TFAP2A	KRT5
SP1	MAT2B
SP3	MAT2B
PPARA	NFKBIA
EGR1	PLAU
ETS1	PLAU
ETS2	PLAU
POU2F1	PLAU
RARA	PLAU
SP1	PLAU
TP53	PTTG1
RELA	S100A6
CREB1	TIMP1
ETS1	TIMP1
ETV4	TIMP1
FOS	TIMP1
JUN	TIMP1
SP1	TIMP1
STAT1	TIMP1
STAT3	TIMP1
TFAP2A	TIMP1
ATF1	TNF
EGR1	TNF
ELK1	TNF
ETS1	TNF
ETV4	TNF
POU2F1	TNF
SP1	TNF
SP3	TNF
POU2F1	TXNRD1
ETV4	VIM
