SLC22A6	APP
LEF1	CCND3
TCF7	CCND3
TCF7L2	CCND3
TEAD1	CTGF
TEAD1	MYC
TEAD1	CCND3
TEAD4	CTGF
TEAD4	MYC
TEAD4	CCND3
TEAD3	CTGF
TEAD3	MYC
TEAD3	CCND3
TCF7L1	CCND3
SOS1	MYC
SOS1	CCND3
SOS2	MYC
SOS2	CCND3
STAT1	MYC
STAT1	CCND3
STAT2	MYC
STAT2	CCND3
STAT3	MYC
STAT3	CCND3
STAT4	MYC
STAT4	CCND3
STAT5A	MYC
STAT5A	CCND3
STAT5B	MYC
STAT5B	CCND3
STAT6	MYC
STAT6	CCND3
MAPK1	CDK4
MAPK3	CDK4
NFKB1	CXCL2
RELA	CXCL2
TP53	DDB2
TP53	SERPINB5
TP53	SIAH1
ETS1	CDK4
FOS	CDK4
HIF1A	TGFB2
JUN	CDK4
MYC	CDK4
NFKB2	BIRC3
PPARA	ACSL3
PPARD	ILK
PPARG	ACSL3
MAX	CDK4
SMAD5	ID3
SMAD9	ID3
CREB1	CD55
NFIC	ALAS1
ATF4	ASNS
HIF1A	BNIP3
ETS1	CSNK2B
MYC	CSTB
SP1	CTGF
PPARA	CYP1A1
SP1	CYP1A1
MYC	EIF4E
TFAP2A	GPX4
NFIC	HSPA1A
TFAP2A	HSPA1A
PPARA	LIPA
PPARD	LIPA
PPARG	LIPA
E2F4	MYC
MYC	MYC
JUN	MYC
NFKB1	MYC
POU2F1	MYC
RELA	MYC
SP1	MYC
TFAP2A	MYC
TP53	MYC
E2F4	PCNA
TP53	PCNA
FOS	PDHA1
JUN	PDHA1
SP1	PDHA1
TFAP2A	PDHA1
RELA	S100A6
ATF1	TFRC
CREB1	TFRC
ETS1	TFRC
JUN	TFRC
POU2F1	TXNRD1
ATF6	XBP1
