DRD2	PPP1R9B
PPP1R9B	PPP1CA
PPP1CA	CREB1
HTR2A	CBL
CBL	ABL1
ABL1	CREB1
DRD1	RANBP9
RANBP9	NR3C1
NR3C1	CREB1
DRD3	GIPC1
GIPC1	MCM7
MCM7	FHL2
FHL2	CREB1
DRD4	ARRB2
ARRB2	AKT1
AKT1	CREB1
HTR1A	HTR1D
HTR1D	HTR1B
HTR1B	MDFI
MDFI	KAT5
KAT5	CREB1
HTR1E	MEOX2
MEOX2	KAT5
HTR2C	CALM1
CALM1	AKT1
HTR6	ATM
ATM	CREB1
HTR7	CUL3
CUL3	ATF2
ATF2	CREB1
ADRA1B	AP2M1
AP2M1	CLTC
CLTC	EP300
EP300	CREB1
ADRA2A	UCHL1
UCHL1	TP53
TP53	CREB1
ADRA2B	UCHL1
ADRA2C	UCHL1
CHRM1	GPRASP2
GPRASP2	RPS6KA5
RPS6KA5	CREB1
CHRM2	SET
SET	NR3C1
CHRM3	SET
