HTR1B	MDFI
MDFI	KAT5
KAT5	RELA
MDFI	MYOD1
MYOD1	KAT2B
KAT2B	PTF1A
PTF1A	RBPJL
KAT5	RBPJ
KAT5	CREB1
MDFI	PIN1
PIN1	JUN
MDFI	VHL
VHL	SP1
KAT5	EP300
EP300	ETS1
EP300	NFKB1
HTR1D	HTR1B
HTR1A	S1PR1
S1PR1	TRIP6
TRIP6	UBE2C
UBE2C	RELA
TRIP6	UBE4B
UBE4B	TRIP12
TRIP12	PTF1A
S1PR1	WWP2
WWP2	NOTCH3
NOTCH3	RBPJ
HTR1A	HTR1D
TRIP6	CREB5
CREB5	JUN
WWP2	SMAD3
SMAD3	SP1
S1PR1	GNAI3
GNAI3	YWHAQ
YWHAQ	NCOA3
NCOA3	ETS1
YWHAQ	E2F1
E2F1	NFKB1
RBPJL	CR2
RBPJL	FCER2
RBPJL	FGR
RBPJ	CR2
RBPJ	FCER2
RBPJ	FGR
CREB1	HLA-DOB
CREB1	CD55
SP1	CD99
JUN	GJA1
SP1	GJA1
RELA	HDAC2
ETS1	MMP3
JUN	MMP3
NFKB1	MMP3
RELA	MMP3
CREB1	POLD2
JUN	POLD2
RELA	S100A6
