ADRA1B	AP2M1
RUNX1T1	CREB3L1
AMFR	UBE2D1
UBE2D1	YAP1
AMFR	HTT
HTT	ZDHHC17
ZDHHC17	TEAD1
DTNA	SNTA1
SNTA1	GOLGA2
GOLGA2	TEAD4
SNTB2	MAST2
MAST2	SUMO2
SUMO2	TEAD3
RELA	SMAD3
NUP62	MUC1
MUC1	SOS1
ACTB	ESR1
ESR1	SOS2
RELA	HIF1A
ABCA1	CREBBP
GOPC	HSF1
HSF1	MYB
KCNH2	HSP90AA1
HSP90AA1	MYC
KCNH2	YWHAE
YWHAE	ABL1
ABL1	JUN
KCNH2	HSPA8
HSPA8	FLYWCH2
FLYWCH2	RXRB
HSP90AA1	PPARA
PPARA	RXRG
HSPA8	TP53
HSP90AA1	EPAS1
EPAS1	MITF
YWHAE	SHMT2
SHMT2	ATF4
KCNH2	CDC73
CDC73	CTNNB1
CTNNB1	LEF1
YWHAE	MAP3K7
MAP3K7	DAZAP2
CTNNB1	TCF7L2
YWHAE	NPM1
NPM1	TFAP2A
YWHAE	HDAC4
HDAC4	NFKB1
HSP90AA1	SP1
YWHAE	XPO1
XPO1	E2F4
SHMT2	CREB3
ABL1	CREB1
YWHAE	HNRNPA1
HNRNPA1	ELAVL1
ELAVL1	CREB3L2
KCNH2	FKBP8
FKBP8	PGRMC1
PGRMC1	CREB3L1
YWHAE	MAPK14
MAPK14	ATF6
YWHAE	YWHAQ
YWHAQ	YAP1
YWHAE	WWTR1
YWHAE	EIF3E
EIF3E	TRIM27
TRIM27	TEAD4
WWTR1	TEAD3
KCNH2	NEDD4L
NEDD4L	SMAD3
YWHAE	CBL
CBL	SOS1
YWHAE	GRAP2
GRAP2	SOS2
HSP90AA1	HIF1A
YWHAE	FOXO3
FOXO3	CREBBP
YWHAE	TP53BP2
TP53BP2	EP300
YWHAE	RPL4
RPL4	MYB
ADRA2A	UCHL1
UCHL1	CDK4
CDK4	MYC
ADRA2A	GNAI2
GNAI2	ITCH
ITCH	JUN
UCHL1	HSPA8
UCHL1	UBE2I
UBE2I	RXRA
GNAI2	MDFI
MDFI	NR1H2
GNAI2	TRIP6
TRIP6	AJUBA
AJUBA	RXRG
UCHL1	TP53
UBE2I	MITF
ADRA2A	GNAO1
GNAO1	GABBR1
GABBR1	ATF4
UBE2I	PPARA
UCHL1	CTNNB1
GNAI2	PLSCR1
PLSCR1	DAZAP2
GNAI2	NPM1
UCHL1	COPS5
COPS5	NFKB1
NPM1	RELA
CTNNB1	SP1
GNAI2	GNAI3
GNAI3	XPO1
TP53	CREB1
CTNNB1	ELAVL1
MDFI	PRKAB2
UCHL1	UBC
GNAO1	CACNA1B
CACNA1B	UBE2L3
UBE2L3	YAP1
CTNNB1	SOX2
SOX2	TEAD1
GNAI2	GNG5
GNG5	GOLGA2
MDFI	PIDD1
PIDD1	TEAD3
ITCH	SMAD3
UCHL1	TNFRSF1A
TNFRSF1A	SOS1
TRIP6	ABI2
ABI2	SOS2
CTNNB1	HIF1A
CTNNB1	CREBBP
CTNNB1	EP300
UBE2I	MYB
ADRA2B	UCHL1
UBE2I	JUN
CTNNB1	PPARG
PPARG	RXRB
ADRA2B	EIF2B1
EIF2B1	GORASP2
GORASP2	SHMT2
TP53	TFAP2A
TP53	RELA
CTNNB1	BRCA1
BRCA1	E2F4
COPS5	PGRMC1
EIF2B1	GCD2
GCD2	TSA1
TSA1	YAP1
GORASP2	GOLGA2
UBE2I	SUMO2
TP53	SMAD3
CTNNB1	ESR1
CREB3	FOSB
CREB1	FOSB
ATF4	FOSB
CREB3L2	FOSB
CREB3L1	FOSB
LEF1	MYC
TCF7	MYC
TCF7L2	MYC
TCF7L1	MYC
CREB3	PCNA
CREB1	PCNA
SMAD3	MYC
ATF4	PCNA
CREB3L2	PCNA
CREB3L1	PCNA
CREBBP	LTBR
EP300	LTBR
HIF1A	LTBR
YAP1	MYC
TEAD1	MYC
TEAD4	MYC
TEAD3	MYC
SOS1	MYC
SOS2	MYC
CREB3	MITF
CREB1	MITF
CREBBP	MITF
EP300	MITF
MITF	TYR
MITF	TYRP1
LEF1	MITF
CREB3L2	MITF
TCF7	MITF
TCF7L2	MITF
TCF7L1	MITF
CREB3L1	MITF
TP53	IGFBP3
JUN	CDK4
MYC	CDK4
PPARA	EHHADH
PPARA	SCP2
PPARA	FADS2
RXRA	EHHADH
RXRA	PCK2
RXRA	SCP2
RXRA	FADS2
RXRB	EHHADH
RXRB	PCK2
RXRB	SCP2
RXRB	FADS2
RXRG	EHHADH
RXRG	PCK2
RXRG	SCP2
RXRG	FADS2
NFKB1	CEBPG
RELA	CEBPG
ATF4	ASNS
HIF1A	BNIP3
MYC	EIF4E
SP1	IGFBP3
TFAP2A	IGFBP3
E2F4	MYC
MYC	MYC
JUN	MYC
MYB	MYC
NFKB1	MYC
POU2F1	MYC
RELA	MYC
SP1	MYC
TFAP2A	MYC
TP53	MYC
MYB	NCL
E2F4	PCNA
TP53	PCNA
POU2F1	TXNRD1
ATF6	XBP1
SMAD3	ZFP36
