SCN2A	ANK3
ANK3	TIAM1
TIAM1	RAC1
RAC1	HIST1H3A
HIST1H3A	CREBBP
TIAM1	BTRC
BTRC	EP300
TIAM1	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	HIF1A
EP300	ARNT
BTRC	TP53
TIAM1	MAPK8IP1
MAPK8IP1	JUN
TIAM1	CSNK1E
CSNK1E	NCOA3
NCOA3	ETS1
BTRC	SMAD4
RAC1	FMNL1
FMNL1	FLI1
EP300	ATF2
RAC1	STAT3
EP300	TFAP2A
BTRC	SP1
RAC1	PIAS3
PIAS3	SMAD3
RAC1	SFPQ
SFPQ	SP3
EP300	JUND
SFPQ	PPARG
PPP1R9B	PPP1CC
PPP1CC	ESR1
NCOA3	CEBPA
PIAS3	SMAD2
BTRC	HRAS
HRAS	SOS1
ANK3	KCNC1
KCNC1	CAMK2A
CAMK2A	PLCG1
PLCG1	SOS2
EP300	FOS
EP300	JUNB
SMAD2	CDKN1A
SMAD3	CDKN1A
SMAD4	CDKN1A
TP53	CDKN1A
TP53	CDKN1B
CREBBP	CDKN1A
CREBBP	CDKN1B
EP300	CDKN1A
EP300	CDKN1B
HIF1A	CDKN1A
HIF1A	CDKN1B
ARNT	CDKN1A
ARNT	CDKN1B
SMAD4	ID3
SOS1	SPRED2
SOS2	SPRED2
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
PPARG	CDKN1A
SP1	CDKN1A
SP3	CDKN1A
STAT3	CDKN1A
TFAP2A	CDKN1A
ETS1	MMP3
FLI1	MMP3
FOS	MMP3
JUN	MMP3
FOS	NQO1
JUND	NQO1
