ADRA1B	AP2M1
AP2M1	CLTC
CLTC	EP300
EP300	NFKB1
AP2M1	HSPA8
HSPA8	RELA
EP300	ETS1
ADRA1D	GOPC
GOPC	RELA
RELA	NFKB1
ADRA1D	DTNA
DTNA	ACTB
ACTB	EP300
ADRA2A	UCHL1
UCHL1	COPS5
COPS5	NFKB1
ADRA2A	GNAI2
GNAI2	NPM1
NPM1	RELA
UCHL1	UBE2I
UBE2I	ETS1
ADRA2B	UCHL1
UCHL1	TP53
TP53	RELA
ADRA2C	UCHL1
ADRB1	ARRB2
ARRB2	NFKBIA
NFKBIA	NFKB1
ARRB2	PRMT5
PRMT5	RELA
ARRB2	MAP2K4
MAP2K4	JUN
JUN	ETS1
ADRB2	STAT3
STAT3	NFKB1
STAT3	RELA
STAT3	EP300
ADRB3	SRC
SRC	STAT3
SRC	CREBBP
CREBBP	ETS1
NFKB1	FIGF
RELA	FIGF
ETS1	FIGF
NFKB1	CEBPG
RELA	CEBPG
ETS1	HPGD
