HTR2A	CBL
CBL	CTNNB1
CTNNB1	SP1
CBL	EGFR
EGFR	STAT3
CBL	SMAD3
SMAD3	CEBPB
CTNNB1	ESR1
SMAD3	CEBPA
CBL	HSPA4
HSPA4	NFKB1
CBL	GRB2
GRB2	REL
SMAD3	JUN
GRB2	EP300
EP300	ETS1
CBL	YWHAZ
YWHAZ	TP53
CBL	HSPA8
HSPA8	RELA
DRD2	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	SP1
DRD2	PAWR
PAWR	STAT1
STAT1	STAT3
DRD2	CALM1
CALM1	ESR1
ESR1	CEBPB
DRD2	FLNA
FLNA	LMNA
LMNA	KAT5
KAT5	CEBPA
FLNA	REL
REL	NFKB1
FLNA	RBM39
RBM39	JUN
REL	EP300
FLNA	RANBP2
RANBP2	TP53
REL	RELA
TP53	CD82
ETS1	MMP2
JUN	MMP2
NFKB1	CEBPB
RELA	CEBPB
CEBPA	TSC22D3
JUN	ALDOA
SP1	ALDOA
CEBPB	CSRP1
REL	CSRP1
STAT3	CSRP1
ESR1	HSPB1
SP1	HSPB1
CEBPA	ITGA2
SP1	ITGA2
ETS1	LYZ
JUN	MGP
CEBPA	MMP2
SP1	MMP2
TP53	MMP2
