SCN2A	ANK3
ANK3	TIAM1
TIAM1	BTRC
BTRC	SP1
TIAM1	MAPK8IP1
MAPK8IP1	JUN
TIAM1	CSNK1E
CSNK1E	NCOA3
NCOA3	ETS1
TIAM1	RAC1
RAC1	STAT3
BTRC	EP300
EP300	JUND
TIAM1	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	HIF1A
RAC1	HIST1H3A
HIST1H3A	CREBBP
EP300	ARNT
EP300	FOS
EP300	TFAP2A
STAT3	STAT1
BTRC	TP53
BTRC	SMAD4
RAC1	PIAS3
PIAS3	SMAD3
ANK3	KCNC1
KCNC1	CAMK2A
CAMK2A	CREB1
BTRC	CTNNB1
CTNNB1	LEF1
RAC1	TOLLIP
TOLLIP	DAZAP2
DAZAP2	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
BTRC	TP63
TP63	ETV4
EP300	JUNB
CSNK1E	RORA
RORA	CEBPB
NCOA3	ETS2
EP300	RUNX1
RAC1	KPNB1
KPNB1	RUNX1T1
BTRC	REL
BTRC	NFKB1
BTRC	RELA
RELA	PPARA
NCOA3	RXRA
RAC1	SFPQ
SFPQ	NR3C1
NR3C1	RXRB
BTRC	NCOR2
NCOR2	RXRG
BTRC	ELAVL1
ELAVL1	NFIC
STAT3	PML
TOLLIP	ZBTB16
BTRC	YAP1
BTRC	MYC
CSNK1E	MYCN
MYCN	ZBTB17
CDKN2A	PIAS2
YAP1	TEAD1
PPP1R9B	DCX
DCX	GOLGA2
GOLGA2	TEAD4
BTRC	E2F1
E2F1	TEAD3
RAC1	TALDO1
TALDO1	TP73
BTRC	WWTR1
RAC1	HACE1
HACE1	RARA
CDKN2A	EGR1
E2F1	E2F4
PML	JUP
RARA	JUP
ZBTB16	JUP
RUNX1	JUP
RUNX1T1	JUP
NFKB1	BIRC2
RELA	BIRC2
SMAD3	CDKN2B
SMAD4	CDKN2B
TP53	SFN
ZBTB17	CDKN2B
JUN	CDK5
LEF1	BIRC5
TCF7	BIRC5
TCF7L2	BIRC5
TCF7L1	BIRC5
CREBBP	LTBR
CREBBP	TIMP1
CREBBP	VEGFB
EP300	LTBR
EP300	TIMP1
EP300	VEGFB
HIF1A	LTBR
HIF1A	TIMP1
HIF1A	VEGFB
ARNT	LTBR
ARNT	TIMP1
ARNT	VEGFB
YAP1	BBC3
YAP1	BIRC2
YAP1	BIRC5
WWTR1	BBC3
WWTR1	BIRC5
LEF1	BIRC2
TCF7	BIRC2
TCF7L2	BIRC2
TEAD1	BIRC2
TEAD1	BIRC5
TEAD4	BIRC2
TEAD4	BIRC5
TEAD3	BIRC2
TEAD3	BIRC5
TP73	BBC3
TCF7L1	BIRC2
TP53	SERPINB5
TP53	BAX
NFKB1	VEGFB
RELA	VEGFB
STAT1	VEGFB
STAT3	VEGFB
ETS1	VEGFB
FOS	VEGFB
JUN	VEGFB
MYC	VEGFB
PIAS2	CDKN2B
PPARA	FABP1
PPARA	ACSL4
PPARA	ACAA1
PPARA	ACOX3
PPARA	FADS2
RXRA	FABP1
RXRA	ACSL4
RXRA	ACAA1
RXRA	ACOX3
RXRA	FADS2
RXRB	FABP1
RXRB	ACSL4
RXRB	ACAA1
RXRB	ACOX3
RXRB	FADS2
RXRG	FABP1
RXRG	ACSL4
RXRG	ACAA1
RXRG	ACOX3
RXRG	FADS2
CREBBP	CDKN2B
EP300	CDKN2B
SP1	CDKN2B
LEF1	MMP7
LEF1	FOSL1
TCF7	MMP7
TCF7	FOSL1
TCF7L2	MMP7
TCF7L2	FOSL1
TCF7L1	MMP7
TCF7L1	FOSL1
SP1	APEX1
E2F4	CAV1
SP1	CAV1
TP53	CAV1
EGR1	CD9
SP1	CD9
TP53	CHEK1
CEBPB	CSRP1
REL	CSRP1
STAT3	CSRP1
SP1	DKC1
ETS1	FOSL1
ETS2	FOSL1
JUN	FOSL1
JUND	FOSL1
SP1	FOSL1
NFIC	HSPA1A
TFAP2A	HSPA1A
TFAP2A	KRT14
SP1	KRT18
ETS1	LYZ
HIF1A	MDK
JUN	MMP7
FOS	NQO1
JUND	NQO1
TP53	PLK1
E2F4	POLE2
NFIC	POLE2
CREB1	TIMP1
ETS1	TIMP1
ETV4	TIMP1
FOS	TIMP1
JUN	TIMP1
JUNB	TIMP1
JUND	TIMP1
SMAD3	TIMP1
SMAD4	TIMP1
SP1	TIMP1
STAT1	TIMP1
STAT3	TIMP1
TFAP2A	TIMP1
SP1	TPI1
JUN	TXN
