GABRA1	PRKCD
PRKCD	EP300
EP300	CREBBP
PRKCD	STAT3
STAT3	HIF1A
EP300	ARNT
EP300	TFAP2A
PRKCD	HSP90AA1
HSP90AA1	NFIC
PRKCD	SP1
PRKCD	STAT1
STAT1	HSF1
GABRA3	SDCBP2
SDCBP2	ZCCHC10
ZCCHC10	TP53
TP53	CREBBP
TP53	EP300
SDCBP2	TIFA
TIFA	TRAF6
TRAF6	HIF1A
HIF1A	ARNT
TP53	TFAP2A
TRAF6	SMURF1
SMURF1	NFIC
TP53	SP1
SDCBP2	ZNF581
ZNF581	GOPC
GOPC	HSF1
GABRA4	APP
APP	CDC20
CDC20	CREBBP
APP	MAPK8
MAPK8	EP300
APP	MCM7
MCM7	HIF1A
APP	PSEN2
PSEN2	ELAVL1
ELAVL1	ARNT
APP	MYC
MYC	TFAP2A
ELAVL1	NFIC
MAPK8	SP1
MAPK8	HSF1
GABRB1	NOD1
NOD1	RNF34
RNF34	TP53
NOD1	PSMA7
PSMA7	HIF1A
NOD1	HSP90AA1
HSP90AA1	ARNT
HSP90AA1	SP1
HSP90AA1	HSF1
GABRB2	TRAK2
TRAK2	PRKAB2
PRKAB2	REL
REL	CREBBP
TRAK2	PRKAA1
PRKAA1	EP300
PRKAB2	GNB2L1
GNB2L1	HIF1A
PRKAB2	PIAS2
PIAS2	ARNT
TRAK2	GSK3B
GSK3B	TP53
GSK3B	HSP90AA1
PRKAB2	CRX
CRX	SP1
TRAK2	PLK1
PLK1	HSF1
GABRB3	MEOX2
MEOX2	RELA
RELA	CREBBP
GABRB3	PRKCA
PRKCA	EP300
RELA	HIF1A
GABRB3	PRKACA
PRKACA	HSP90AA1
RELA	SP1
PRKACA	HDAC1
HDAC1	HSF1
GABRG2	GABARAP
GABARAP	NEDD4
NEDD4	SMAD3
SMAD3	CREBBP
GABARAP	ATG7
ATG7	EP300
GABARAP	SQSTM1
SQSTM1	HIF1A
NEDD4	PPARG
PPARG	TFAP2A
GABARAP	KEAP1
KEAP1	HSP90AA1
SMAD3	SP1
GABARAP	FKBP4
FKBP4	HSF1
GABRD	UBQLN1
UBQLN1	RAD23A
RAD23A	CREBBP
UBQLN1	GAPDH
GAPDH	EP300
UBQLN1	RAD23B
RAD23B	HIF1A
UBQLN1	C1QTNF2
C1QTNF2	ARNT
UBQLN1	EPS15
EPS15	TFAP2A
UBQLN1	PSEN2
UBQLN1	APP
UBQLN1	UBE3A
UBE3A	HSF1
GABRE	GP1BB
GP1BB	LYN
LYN	CREBBP
GABRE	CUX1
CUX1	SATB1
SATB1	EP300
GABRE	HLA-A
HLA-A	STAT3
SATB1	PML
PML	ARNT
GABRE	FAM189B
FAM189B	HECW2
HECW2	TFAP2A
CUX1	CDK7
CDK7	HSP90AA1
CUX1	CCNA1
CCNA1	SP1
GABRE	ALG9
ALG9	SGF29
SGF29	HSF1
GABRR1	BCR
BCR	TP53
BCR	GRB2
GRB2	EP300
TP53	HIF1A
BCR	RB1
RB1	ARNT
RB1	TFAP2A
BCR	HSP90AA1
RB1	SP1
BCR	HSPA4
HSPA4	HSF1
CREBBP	EDN1
CREBBP	LDHA
EP300	EDN1
EP300	LDHA
HIF1A	EDN1
HIF1A	LDHA
ARNT	EDN1
ARNT	LDHA
HSF1	HSPA1A
NFIC	HSPA1A
TFAP2A	HSPA1A
SP1	KRT18
SP1	LDHA
