ATP1A1	SLC8A1
SLC8A1	PLCD3
PLCD3	PRKCA
PRKCA	FOS
PRKCA	CREB1
PLCD3	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
CREBBP	SP1
PIK3R5	HRAS
HRAS	MAPK8
MAPK8	JUND
PIK3R5	EGFR
EGFR	CTNNB1
CTNNB1	LEF1
LEF1	PPARD
PIK3R5	AKT3
AKT3	JUN
PRKCA	PRKACA
PRKACA	PPARA
AKT3	NFKB1
NFKB1	CEBPB
PRKCA	CREB3
CREB3	ATF1
PRKCA	MAPK1
MAPK1	ETS1
MAPK1	STAT3
PRKACA	XBP1
XBP1	CEBPA
MAPK1	MITF
PIK3R5	MTOR
MTOR	PPARG
AKT3	RELA
PIK3R5	GSK3B
GSK3B	MYC
MAPK1	TP53
MAPK1	STAT1
KCNMA1	CACNA1C
CACNA1C	CALML6
CALML6	HRAS
HRAS	FOS
CALML6	CAMK2A
CAMK2A	CREB1
CAMK2A	CREBBP
CAMK2A	EP300
CACNA1C	INS
INS	PIK3R5
CREBBP	ARNT
INS	NR1H3
NR1H3	RXRA
CREBBP	RXRB
CREBBP	RXRG
CREBBP	LEF1
HRAS	JUN
CALML6	ADCY1
ADCY1	PRKACA
HRAS	MAPK14
MAPK14	CEBPB
CAMK2A	ATF1
INS	MAPK1
MAPK1	NFKB1
INS	KIT
KIT	STAT3
MAPK1	RELA
MAPK1	MYC
CAMK2A	STAT1
RBPJ	CR2
JUN	CCND2
CREB3	PCNA
CREB1	PCNA
ATF6B	IL8
CREB3L4	PCNA
ATF4	PCNA
NFKB1	TNF
MAPK8	JUN
CREB3L3	IL8
CREB3L1	PCNA
CREBBP	CDKN1A
CREBBP	ENO1
CREBBP	EPO
CREBBP	HK3
CREBBP	SERPINE1
CREBBP	ANGPT4
CREBBP	TFRC
CREBBP	VEGFB
EP300	CDKN1A
EP300	ENO1
EP300	EPO
EP300	HK3
EP300	SERPINE1
EP300	ANGPT4
EP300	TFRC
EP300	VEGFB
HIF1A	CDKN1A
HIF1A	ENO1
HIF1A	EPO
HIF1A	HK3
HIF1A	SERPINE1
HIF1A	ANGPT4
STAT2	SOCS3
STAT4	CCND3
STAT5B	CCND2
HNF1A	HNF4A
ETS1	MMP9
ETS1	VEGFC
FOS	CDK4
HIF1A	TGFB2
JUN	FIGF
JUN	VEGFC
MYC	MMP9
NFKB1	TRAF5
NFKB2	TRAF1
ATF2	BCL2
FOXO3	G6PC2
FOXO3	RBL2
ATF4	BCL2
PPARA	CYP4A11
PPARA	ACSL5
PPARD	CPT1A
PPARD	CPT1B
PPARD	ACADL
PPARG	CPT1B
PPARG	ACSBG2
RXRA	CYP4A11
RXRA	CYP7A1
RXRA	CYP27A1
NFKB1	IL23A
NFYB	HLA-DQB1
NFYB	HLA-DRA
NFYC	HLA-DMB
NFYC	HLA-DOA
MAPK1	IL18
RFXAP	LOC100509457
RFXAP	HLA-DMA
RFXAP	HLA-DMB
CREB3L2	AQP2
CREB3L3	AQP2
NFAT5	PTGS2
MYBL2	CDKN1C
SP1	COL4A2
TFAP2A	CCNB1
USF1	CCNB1
USF2	CCNB1
ELK1	CCT8
USF2	CEACAM5
USF2	CEACAM6
ATF1	CGA
ATF4	CGA
CREB1	CGA
RARG	CRABP2
NFKB1	CSF1
ETS1	CSF2
SP1	EGFR
CREB1	F3
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
ESR1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
ETV4	PTGS2
MYBL2	RBL1
SP1	RELA
SP1	RPL10
RARA	S100A8
RARA	S100A9
JUN	SERPINB2
PPARA	SERPINE1
PPARD	SERPINE1
MYBL2	SP1
USF2	SP1
ETS2	SPP1
POU2F1	SPP1
NFIC	STMN1
NFIC	TFPI2
JUN	TFRC
ATF1	TG
CREB1	TIMP1
FOS	TIMP1
JUND	TIMP1
STAT1	TIMP1
E2F4	TK1
ETS1	TNF
ERG	TNNC1
ETS1	TNNC1
MYC	TP53
HIF1A	TP53
NFKB1	TP53
STAT1	TP53
WT1	TP53
TP53	TYMS
HIF1A	VHL
PAX1	VHL
