CYP3A4	PLA2G4B
PLA2G4B	PRKCA
PRKCA	RAF1
RAF1	NFKB1
RAF1	RELA
PRKCA	PAX8
PAX8	RXRA
PAX8	RXRB
PAX8	RXRG
PRKCA	MTOR
MTOR	PPARG
PRKCA	CREB1
PRKCA	PRKACA
PRKACA	PPARA
NFKB1	NFKB2
CYP51A1	TM7SF2
TM7SF2	DHCR24
DHCR24	CEL
CEL	PPAP2A
PPAP2A	PRKCE
PRKCE	RAF1
PPAP2A	PRKCD
PRKCD	MAPK7
MAPK7	NR4A1
NR4A1	RXRA
CEL	DGKK
DGKK	PLCB1
PLCB1	PIK3R5
PIK3R5	THRA
THRA	RXRB
THRA	RXRG
PIK3R5	MTOR
PRKCE	PPP1CA
PPP1CA	CREB1
DGKK	PLCE1
PLCE1	PRKACA
STAT4	CCND1
STAT4	SOCS5
STAT5A	SOCS1
STAT5B	MYC
STAT5B	SOCS3
STAT6	PIM1
TP53	SESN1
TP53	SERPINE1
EPAS1	FIGF
FOS	PGF
MAX	CKS1B
NFKB2	BCL2L1
NFKB2	TRAF5
CREB3L2	BCL2
PPARA	CPT2
PPARA	DBI
PPARD	ANGPTL4
PPARG	CPT1A
PPARG	ACSL1
RXRA	FABP1
USF2	CTSB
SP1	CYP21A2
JUNB	DCN
