HTR2A	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	TP53
MAPK1	MYC
MAPK1	SMAD2
SMAD2	SP1
HRAS	JUN
MAPK1	ELK1
ELK1	EGR1
HRAS	RAF1
RAF1	NFKB1
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
PIK3R5	MTOR
MTOR	PPARG
DRD2	GNAI1
GNAI1	MAPK1
GNAI1	HRAS
MAPK1	NFKB1
GNAI1	PIK3R5
HIF1A	CREBBP
HIF1A	EP300
GRIA2	GRIN1
GRIN1	NOS1
NOS1	MAPK1
GRIN1	CALML6
CALML6	CAMK2A
CREBBP	SP1
CALML6	HRAS
GRIA2	LYN
LYN	PIK3R5
GRIA3	GRIN1
GRIA3	LYN
TCF7	BIRC5
RBPJ	FCER2
CTNNB1	CCND3
ELK1	BIRC2
RELA	IL6
RELA	MMP9
CREBBP	PFKL
CREBBP	PGF
EP300	PFKL
EP300	PGF
MYC	CKS1B
MAPK8	IL18
MAPK11	IL18
MAPK11	NOS2
MYB	TSC22D3
MYBL1	TSC22D3
SP1	CD83
SP3	CD83
USF1	CTSB
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
ETS2	PLAU
PPARG	PTGS2
MYC	PTMA
ESR1	PTMA
NFIC	SFTPC
ETS1	SLC26A3
HOXA4	TH
HOXA5	TH
SMAD4	TNNC1
SP3	TNNC1
