CYP51A1	TM7SF2
TM7SF2	DHCR24
DHCR24	CEL
CEL	PPAP2A
PPAP2A	PRKCD
PRKCD	MAP3K1
MAP3K1	CHUK
CHUK	IRF7
CEL	DGKK
DGKK	PLCB1
PLCB1	CAMK2A
CAMK2A	STAT1
STAT1	MYD88
DGKK	PLCE1
PLCE1	PRKACA
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
PPAP2A	PRKCE
PRKCE	MAPK8
MAPK8	SMAD3
SMAD3	SP1
PLCB1	PIK3R5
PIK3R5	HIF1A
PRKCE	PPP1CA
PPP1CA	CREB1
MAPK8	ELK1
ELK1	EGR1
CAMK2A	CREBBP
CAMK2A	EP300
HIF1A	ARNT
CREB3L2	BDNF
CREB5	NPY
CREB3L3	FOS
CREB3L1	PDYN
RELA	BIRC8
RELA	XIAP
GLI1	WNT16
GLI1	WNT7A
GLI1	WNT8B
GLI1	WNT9A
GLI2	BMP2
CREB1	IL8
CREB5	PCNA
CREBBP	HKDC1
EP300	HKDC1
PIK3CA	AKT2
RXRB	CYP4A11
RXRB	CYP8B1
RXRB	CYP27A1
RXRB	EHHADH
RXRG	SORBS1
RXRG	APOA5
RXRG	CPT1C
RXRG	CPT1B
NFYB	HLA-DMA
MAPK8	IL12A
JUN	PLAUR
MYB	CDK1
CREB1	CCND1
ETS1	COX4I1
RARB	CRABP2
NFKB1	HMOX1
POU2F2	IL2
STAT5B	IL2RA
JUNB	IVL
CREB1	JUN
SP1	JUN
SP3	KLK3
SP1	KRT5
PPARA	LIPA
USF1	LIPC
ETS1	LYZ
RARA	MIF
CREB1	REN
ETS1	SPP1
JUNB	TIMP1
NFIC	TP53
