HTR2A	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
HRAS	JUN
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
MAPK1	ETS1
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
HRAS	FOS
HRAS	MAPK14
MAPK14	CEBPB
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
DRD2	GNAI1
GNAI1	MAPK1
GNAI1	HRAS
GNAI1	PIK3R5
HIF1A	CREBBP
HIF1A	EP300
MAPK1	NFKB1
MAPK1	RELA
GNAI1	MAPK14
GNAI1	RAPGEF3
RAPGEF3	PRKACA
GRIA2	GRIN1
GRIN1	CALML6
CALML6	CAMK2A
CREBBP	SP1
CALML6	HRAS
GRIA2	LYN
LYN	PIK3R5
GRIN1	NOS1
NOS1	MAPK1
LYN	PRKCA
PRKCA	FOS
LYN	PTK2
PTK2	MAPK14
PRKCA	PRKACA
GRIA3	GRIN1
GRIA3	LYN
TFDP2	CCNE2
MAPK11	IL8
RBPJL	FCER2
ATF2	IL8
MAPK9	SMAD4
CREBBP	CDKN1B
CREBBP	PFKFB2
EP300	CDKN1B
EP300	PFKFB2
HIF1A	CDKN1B
HIF1A	PFKFB2
NFKB1	CCL4L2
NFKB1	PTGS2
RELB	CCL13
PIK3CA	AKT1
PIK3R1	AKT3
RXRA	SCD5
RXRB	ACAA1
NFYB	HLA-DOB
NFYC	LOC100507714
NFYC	LOC100509457
NFYC	LOC101060835
MYB	TSC22D3
MYBL1	TSC22D3
PPARD	GADD45B
ATF1	GH2
CREB1	GH2
SPI1	NFKB1
NFKB1	PPP2R4
CEBPB	PTGS2
SP1	RPL15
USF2	SERPINE1
ETV4	SPP1
ATF1	TH
SMAD3	TIMP1
NFKB1	TNNC1
PAX2	TP53
ETV4	VIM
