DRD2	GNAI1
GNAI1	MAPK1
MAPK1	CREB1
GNAI1	HRAS
HRAS	JUN
GNAI1	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
ADRA1A	PRKAG2
PRKAG2	CRTC2
CRTC2	CREB1
ADRA1A	GNAQ
GNAQ	HRAS
PRKAG2	MTOR
MTOR	HIF1A
CRTC2	CREBBP
CRTC2	EP300
CALM1	CAMK2A
CAMK2A	CREB1
CALM1	HRAS
HRAS	PIK3R5
CAMK2A	CREBBP
CAMK2A	EP300
CREBBP	ARNT
CALM2	CAMK2A
CALM2	HRAS
CALM3	CAMK2A
CALM3	HRAS
TNNC1	PLCD3
PLCD3	PRKCA
PRKCA	CREB1
TNNC1	TNNI3
TNNI3	TPM3
TPM3	HRAS
PLCD3	PIK3R5
NFKB1	TNF
CREBBP	SERPINE1
EP300	SERPINE1
HIF1A	SERPINE1
RXRB	MMP1
SP2	CD14
ESR1	FOS
ETS2	FOS
PPARA	SERPINE1
JUN	TFRC
ERG	TNNC1
HIF1A	VHL
