DRD2	GNAI1
GNAI1	MAPK1
MAPK1	TP53
MAPK1	CCND1
CCND1	RB1
RB1	E2F1
MAPK1	SMAD2
SMAD2	E2F4
GNAI1	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
SMAD2	SP1
GNAI1	HRAS
HRAS	JUN
ADRA1A	PRKAG2
PRKAG2	CRTC2
CRTC2	CREBBP
CREBBP	TP53
PRKAG2	ELAVL1
ELAVL1	CCNA1
CCNA1	E2F1
PRKAG2	FOXO3
FOXO3	RBL2
RBL2	E2F4
CRTC2	EP300
PRKAG2	MTOR
MTOR	HIF1A
CREBBP	SP1
ADRA1A	GNAQ
GNAQ	HRAS
CALM1	HRAS
HRAS	MAPK1
CALM1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HRAS	PIK3R5
CREBBP	ARNT
CALM2	HRAS
CALM2	CAMK2A
CALM3	HRAS
CALM3	CAMK2A
TNNC1	PLCD3
PLCD3	PRKCA
PRKCA	MAPK1
PLCD3	PIK3R5
PIK3R5	AKT3
AKT3	CDKN1A
CDKN1A	CCNA1
TNNC1	TNNI3
TNNI3	TPM3
TPM3	HRAS
GLI3	HHIP
JUN	CCND2
CREB1	IL8
CREB3L4	IL8
CREB3L3	IL8
CREB5	PCNA
CREBBP	ENO3
CREBBP	TFRC
CREBBP	HKDC1
EP300	ENO3
EP300	TFRC
EP300	HKDC1
HIF1A	ENO3
NFYB	HLA-DOA
NFYC	HLA-DMB
NFYC	HLA-DOA
MAPK9	TNF
MAPK10	IL6
ATF2	HLA-E
FLI1	MMP9
MYBL2	RBL1
CREB1	REN
RARG	S100A8
MYBL2	SP1
ETS1	SPP1
SP1	SPP1
CREB1	TIMP1
JUNB	TIMP1
TFAP2A	TIMP1
MYC	TP53
NFIC	TP53
USF1	TP53
