HPRT1	PDE3B
PDE3B	PRKACA
PRKACA	NFKB1
NFKB1	TP53
PRKACA	CREBBP
PRKACA	EP300
NFKB1	HIF1A
CREBBP	ARNT
PRKACA	MAPK1
MAPK1	JUN
PRKACA	CREB1
CREBBP	SP1
MAPK1	MYC
MAPK1	FOS
NFKB1	CEBPB
CEBPB	CIITA
CIITA	NFYA
CIITA	NFYB
CIITA	NFYC
CIITA	RFX5
CIITA	RFXAP
CIITA	RFXANK
MAPK1	STAT3
CREBBP	STAT5A
CREBBP	STAT5B
STAT3	PIM2
STAT5A	PIM2
STAT5B	PIM2
TCF7	BIRC5
RBPJ	FCER2
CTNNB1	CCND3
JUN	CCND2
ATF4	PCNA
RELA	IL6
CREB3L3	IL8
CREBBP	HK3
CREBBP	PFKL
CREBBP	TFRC
EP300	HK3
EP300	PFKL
EP300	TFRC
HIF1A	HK3
TEAD3	CTGF
TCF7L1	AXIN2
TEAD2	CCND1
RXRB	MMP1
RXRG	ACSL3
RXRG	ACADM
RXRG	ANGPTL4
IRF7	IFNA17
JUN	TNF
STAT1	CXCL11
NFYC	HLA-DMB
NFYC	HLA-DOA
MAPK9	NOS2
RARG	CRABP2
NFKB1	CSF1
ETS1	CSF2
USF1	CTSB
USF2	CTSB
SP1	CTSL
JUND	F3
E2F4	HSP90B1
TFAP2A	HSPA1A
ESR1	HSPB1
ETS2	PLAU
PPARG	PTGS2
MYC	PTMA
MYBL2	RBL1
JUN	SERPINB2
NFIC	SFTPC
MYBL2	SP1
NFIC	TFPI2
HOXA4	TH
CREB1	TIMP1
ETS1	TNF
SMAD4	TNNC1
MYC	TP53
TP53	TYMS
