HRH1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	ELK1
ELK1	EGR1
MAPK1	CREB1
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
MAPK1	SMAD2
SMAD2	SP1
MAPK1	ETS1
ETS1	SPI1
MAPK1	ESR1
MAPK1	TP53
PDE4A	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	ELK1
ADCY1	PRKACA
PRKACA	CREB1
PRKACA	NFKB1
PRKACA	RELA
PRKACA	CREBBP
CREBBP	SP1
ELK1	SPI1
PRKACA	MAPK1
MAPK8	TP53
PDE4B	ADCY1
PDE4D	ADCY1
PDE4C	ADCY1
PDE7A	ADCY1
PDE7B	ADCY1
PDE8A	ADCY1
PDE8B	ADCY1
PGD	GSR
GSR	GPX6
GPX6	CYP2C8
CYP2C8	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
PRKCA	CREB1
PGD	RPIA
RPIA	PGM1
PGM1	G6PC
G6PC	PPP2R4
PPP2R4	AKT2
AKT2	NFKB1
AKT2	RELA
PRKCA	PRKACA
TCF7L2	MYC
CREB1	MITF
MAPK9	IL18
RFX5	LOC100507714
NFATC2	PTGS2
NFATC3	PTGS2
NFATC4	PTGS2
LEF1	JUN
LEF1	MMP7
CEBPA	ABCB1
CEBPB	ABCB1
SP3	COL2A1
ATF1	PLAUR
