DRD2	GNAI1
GNAI1	MAPK1
MAPK1	NFKB1
MAPK1	RELA
NFKB1	NFKB2
MAPK1	ATF2
MAPK1	CREB1
MAPK1	ATF4
MAPK1	TP53
GNAI1	HRAS
HRAS	JUN
HRAS	FOS
ADRA1A	PRKAG2
PRKAG2	MTOR
MTOR	AKT3
AKT3	NFKB1
AKT3	RELA
AKT3	CHUK
CHUK	NFKB2
PRKAG2	CRTC2
CRTC2	ATF2
CRTC2	CREB1
CRTC2	ATF4
CRTC2	CREBBP
CREBBP	TP53
ADRA1A	GNAQ
GNAQ	HRAS
CALM1	HRAS
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
CALM1	CAMK2A
CAMK2A	ATF2
CAMK2A	CREB1
CAMK2A	ATF4
HRAS	MAPK1
CALM2	HRAS
CALM2	CAMK2A
CALM3	HRAS
CALM3	CAMK2A
TNNC1	PLCD3
PLCD3	PIK3R5
PIK3R5	AKT3
PLCD3	PRKCA
PRKCA	ATF2
PRKCA	CREB1
PRKCA	ATF4
PRKCA	MAPK1
TNNC1	TNNI3
TNNI3	TPM3
TPM3	HRAS
PRKCA	FOS
PML	CCNA1
RARA	CCNA1
ZBTB16	CCNA1
TP53	SFN
TP53	GADD45B
STAT4	SOCS5
STAT5A	CCND1
STAT5B	SOCS3
STAT6	MYC
RBPJL	HES5
TP53	SESN1
TP53	IGFBP3
TP53	RRM2B
TP53	RPRM
MAPK8	NOS2
MAPK8	IL23A
MAPK11	IL6
SP1	CYP1A1
SP3	CYP1A1
SP1	CYP21A2
ETV4	HPGD
SP1	HRAS
CEBPB	ICAM1
SP1	NFKB2
PPARA	NFKBIA
