HRH2	GNAS
GNAS	SRC
SRC	PIK3R5
PIK3R5	HIF1A
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	CREB1
PIK3R5	GSK3B
GSK3B	ARNTL
ARNTL	NPAS2
GSK3B	CLOCK
SRC	HRAS
HRAS	JUN
PRKACA	ATF1
PRKACA	XBP1
XBP1	CEBPA
SRC	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
HIF1A	ARNT
SRC	RAC1
RAC1	RELA
RAC1	NFKB1
HRAS	FOS
GLI3	WNT6
GLI3	WNT7A
GLI3	WNT8B
GLI3	WNT10A
GLI3	WNT5B
NR1H4	SLC51B
E2F1	CCNE1
E2F1	CCNE2
E2F3	CCNE1
SMAD4	CDKN1A
NFKB1	CCL5
MAPK12	IL8
CREB1	PCNA
NFKB1	TNF
CREBBP	CDKN1A
CREBBP	SERPINE1
EP300	CDKN1A
EP300	SERPINE1
HIF1A	CDKN1A
HIF1A	SERPINE1
RXRA	PLTP
RXRB	ACSBG1
RXRB	AQP7
MYD88	IFNA17
MYD88	IFNB1
MAPK1	IL18
MAPK3	IL18
USF1	APOC3
USF2	APOC3
PPARG	APOE
SP3	CTSB
ELK3	FOS
ESR1	FOS
ETS2	FOS
TFAP2A	MT1A
E2F1	MYB
EGR1	MYB
E2F4	MYC
MYC	MYC
JUN	MYC
POU2F2	MYC
RELA	MYC
TP53	MYC
BCL3	NFKB1
ATF1	PPP2R4
ATF2	PTGS2
SP1	RPL10
PPARA	SERPINE1
ETS2	SPP1
JUN	TFRC
JUND	TIMP1
ERG	TNNC1
NFKB1	TP53
HIF1A	VHL
