ADRA2B	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
HRAS	JUN
HRAS	RAF1
RAF1	NFKB1
HRAS	FOS
MAPK1	ELK1
ELK1	EGR1
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
MAPK1	MYC
MAPK1	ETS1
ETS1	SPI1
HRAS	PIK3R5
PIK3R5	THRA
THRA	RXRA
RXRA	RARB
PIK3R5	HIF1A
MAPK1	TP53
RARA	CCNA1
CREBBP	VEGFC
RELA	TRAF1
PIK3R5	AKT1
PIK3CD	PDPK1
PLCG2	EGFR
RXRA	SCP2
RXRB	GK
RXRB	ACADL
MAPK9	IL12A
MAPK9	IL12B
SP1	CD14
ESR2	CD68
SPI1	CD68
POU2F1	CD79A
POU2F2	CD79A
STAT5A	EGFR
STAT5B	EGFR
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
SP1	HRAS
JUN	TIMP1
