CYP3A4	PLA2G4B
PLA2G4B	PRKCA
PRKCA	RAF1
RAF1	NFKB1
RAF1	RELA
PRKCA	CREB1
PRKCA	HRAS
HRAS	JUN
PRKCA	PRKACA
PRKACA	XBP1
XBP1	CEBPA
HRAS	MAPK14
MAPK14	CEBPB
PRKCA	MAPK1
MAPK1	TP53
MAPK1	SMAD2
SMAD2	SP1
MAPK1	ETS1
ETS1	SPI1
NFKB1	NFKB2
CYP51A1	TM7SF2
TM7SF2	DHCR24
DHCR24	CEL
CEL	PPAP2A
PPAP2A	PRKCE
PRKCE	RAF1
PRKCE	PPP1CA
PPP1CA	CREB1
PRKCE	MAPK8
MAPK8	JUN
CEL	DGKK
DGKK	PLCE1
PLCE1	PRKACA
PRKCE	ARAF
ARAF	MAPK14
MAPK8	TP53
MAPK8	SMAD3
SMAD3	SP1
MAPK8	ELK1
ELK1	SPI1
GLI3	BMP2
STAT4	SOCS2
STAT5A	CCND3
STAT5B	SOCS1
NFYA	HLA-DQB1
NFYA	HLA-DRA
NFYA	CD74
NFYB	LOC100507709
NFYB	LOC100507714
NFYB	LOC100509457
MAPK1	IL18
MAPK9	IL1B
MAPK9	IL6
EGR1	ABCB1
EGR2	ABCB1
ETS1	ABCB1
JUN	ABCB1
NFKB1	ABCB1
TP53	ABCB1
WT1	ABCB1
PPARA	MMP9
