PPARG	RXRA
RXRA	THRA
THRA	CTNNB1
CTNNB1	CREBBP
CREBBP	CREB1
CREBBP	SP1
CREBBP	STAT1
STAT1	CIITA
CIITA	NFYA
CIITA	NFYB
CIITA	NFYC
CIITA	RFX5
CIITA	RFXAP
CIITA	RFXANK
CTNNB1	LEF1
LEF1	JUN
RXRA	THRB
THRB	PIK3R5
PIK3R5	HRAS
HRAS	FOS
RXRA	SREBF1
SREBF1	PKLR
PKLR	ADCY1
ADCY1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
THRB	GATA4
GATA4	SRF
SRF	ETS1
CREBBP	TP53
THRB	MYC
PIK3R5	AKT3
AKT3	NFKB1
CREBBP	STAT3
STAT1	MYD88
THRB	HIF1A
AKT3	RELA
AKT3	CHUK
CHUK	IRF7
ACSL4	ACOX1
ACOX1	EHHADH
EHHADH	ALDH2
ALDH2	GATM
GATM	NOS3
NOS3	CREB1
GATM	NOS1
NOS1	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	STAT1
NOS1	HRAS
HRAS	JUN
ALDH2	CYP4A11
CYP4A11	PLA2G4B
PLA2G4B	PRKCA
PRKCA	FOS
PRKCA	PRKACA
MAPK1	ETS1
MAPK1	TP53
MAPK1	MYC
MAPK1	NFKB1
MAPK1	STAT3
PRKCA	MTOR
MTOR	HIF1A
MAPK1	RELA
PRKCA	MAP3K1
MAP3K1	CHUK
SERPINE1	PLAT
PLAT	PLG
PLG	PARD3
PARD3	PRKCZ
PRKCZ	AKT3
AKT3	CREB1
PRKCZ	MAPK1
AKT3	JUN
MAPK1	FOS
PARD3	JAM2
JAM2	ITGB1
ITGB1	PRKACA
PARD3	TIAM1
TIAM1	RAC1
RAC1	NFKB1
PLG	F2R
F2R	PIK3R5
PIK3R5	HIF1A
RAC1	RELA
CREBBP	TIMP1
TEAD1	CCND1
TEAD4	CCND2
SOS1	BCL2L1
VDR	TRPV6
NFKB1	GADD45B
NFKB1	BCL2A1
NFKB1	VCAM1
RELA	BCL2A1
RELA	TRAF1
RELB	CCL21
PIK3R5	AKT1
PIK3CD	AKT1
PIK3CD	PDPK1
PIK3R2	AKT2
PLCG2	EGFR
RXRA	SCP2
RXRB	CPT2
RXRB	GK
RXRB	ACADL
RXRB	APOA2
RXRB	ANGPTL4
RXRB	ACSL5
RXRG	NR1H3
RXRG	GK2
RXRG	ACAA1
RXRG	LPL
RXRG	MMP1
RXRG	SCD
RXRG	UBC
JUN	IL12B
JUN	CCL3L3
NFKB1	CCL3
RELA	IL12A
CREB1	LOC100507709
CREB1	LOC100509457
NFYC	LOC100507714
NFYC	LOC101060835
MAPK3	IL18
RFX5	LOC100507709
CREB3L3	AQP2
ELK1	CCT8
ESR2	CD68
SPI1	CD68
POU2F2	CD79A
ETS1	FOSL1
RARA	GADD45A
ETS1	TIMP1
