TUBB1	ARHGEF2
ARHGEF2	RHOA
RHOA	MAPK8
MAPK8	TP53
MAPK8	SMAD3
SMAD3	SP1
MAPK8	SMAD4
SMAD4	LEF1
LEF1	PPARD
MAPK8	JUN
RHOA	RAF1
RAF1	NFKB1
RAF1	RELA
RHOA	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
RAF1	AKT3
AKT3	CREB1
AKT3	MTOR
MTOR	PPARG
SMAD3	YAP1
AKT3	NR4A1
NR4A1	RXRA
RXRA	RARB
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
BCL2	TP53
TP53	TP73
TP73	YAP1
YAP1	SMAD2
SMAD2	SP1
YAP1	LEF1
TP53	PTEN
PTEN	AKT3
AKT3	JUN
BCL2	APAF1
APAF1	CASP3
CASP3	MAP3K1
MAP3K1	NFKB1
MAP3K1	RELA
TP53	THBS1
THBS1	ITGB1
ITGB1	PRKACA
TP53	TSC2
TSC2	RHEB
RHEB	MTOR
YAP1	GLI2
CREB3L3	ARC
NFKB1	BIRC7
RELA	BIRC3
GLI1	WNT6
GLI1	WNT8A
GLI2	HHIP
GLI3	BMP2
TP53	GADD45A
ARNT	EPO
STAT4	SOCS2
STAT5B	SOCS1
PAX6	PDX1
NFYC	HLA-DQA1
RFX5	HLA-DQA1
RFX5	HLA-DQA2
ETS2	TWF2
ETV4	PLAUR
FLI1	POLR2A
FOS	PLAUR
CREB1	ADRB2
USF2	CTSB
SP1	CTSL
ESR2	EGFR
NFKB2	EGFR
PPARG	EGFR
REL	EGFR
JUN	IVL
SMAD4	JUN
PGR	KLK3
SP3	LHB
PPARG	LIPA
JUN	MGP
PPARA	MMP9
JUN	NFKB2
