CYSLTR1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	TP53
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
HRAS	PIK3R5
PIK3R5	MTOR
MTOR	PPARG
MAPK1	ETS1
PIK3R5	THRA
THRA	RXRA
RXRA	RARB
MAPK1	MYC
MAPK1	ESR1
MAPK1	SMAD4
GNAQ	DVL1
DVL1	LOC400927-CSNK1E
LOC400927-CSNK1E	YAP1
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
MAPK1	SMAD1
MAPK1	SMAD5
MAPK1	SMAD9
MAPK1	STAT3
HRAS	JUN
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	ATF1
THRA	RXRB
THRA	RXRG
HRAS	FOS
PIK3R5	HIF1A
PLCB1	EGFR
EGFR	STAT5A
EGFR	STAT5B
SMAD4	LEF1
LEF1	PPARD
MAPK1	CREB1
MAPK1	ETS2
CAMK2A	CREBBP
CAMK2A	EP300
HIF1A	ARNT
MAPK1	STAT1
PRKACA	XBP1
XBP1	CEBPA
DVL1	GSK3B
GSK3B	GLI1
GSK3B	GLI2
GSK3B	GLI3
MAPK1	SMAD2
SMAD2	SP1
SMAD2	E2F4
ALOX5	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
PRKCA	RAF1
PRKCA	MTOR
PRKCA	PAX8
PAX8	RXRA
SMAD2	YAP1
PRKCA	PRKACA
PRKCA	HRAS
PRKCA	CREB3
CREB3	ATF1
PAX8	RXRB
PAX8	RXRG
PRKCA	FOS
MTOR	HIF1A
STAT3	STAT5A
STAT3	STAT5B
PRKCA	CREB1
CREB3	CREBBP
CREB3	EP300
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
RARA	JUP
STAT3	PIM2
STAT3	PIM1
STAT5A	PIM2
STAT5A	PIM1
STAT5B	PIM2
STAT5B	PIM1
RUNX1	JUP
RUNX1T1	JUP
CREB3L1	ARC
CREB3L1	FOS
RELA	BCL2L1
RELA	BIRC7
GLI1	WNT11
GLI1	WNT2B
GLI3	BMP2
ELK1	CCND1
MAPK9	JUN
CREB3L2	PCNA
CREBBP	PFKFB1
CREBBP	SLC2A1
EP300	PFKFB1
EP300	SLC2A1
HIF1A	PFKFB1
HIF1A	PGK1
HIF1A	VEGFA
HIF1A	VEGFC
ARNT	LTBR
ARNT	NOS3
ARNT	PFKFB2
ARNT	PFKFB3
ARNT	PFKL
TEAD1	BIRC2
STAT4	SOCS2
STAT5A	SOCS1
STAT5B	SOCS1
STAT6	PIM1
EP300	MITF
MITF	TYRP1
NFKB1	IL1B
NFKB1	PLAU
NFKB1	TRAF1
NFKB2	TNFSF13B
RELB	ICAM1
PIK3CA	AKT3
PIK3CG	PDPK1
PIK3R3	PDPK1
EPAS1	TGFB2
FOS	VEGFB
MAX	CKS1B
MYC	CKS1B
NFKB2	TRAF5
RELA	CCND1
CREB3L1	MCL1
PPARA	DBI
PPARA	ACSL4
PPARD	UCP1
PPARG	ACSL1
PPARG	GK
RXRA	ACSL3
RXRA	ME1
RXRA	OLR1
RXRA	PCK1
RXRA	ANGPTL4
RXRG	FABP4
RXRG	FABP3
IRF7	IFNA10
IRF7	IFNA14
MYD88	IFNA21
NFYA	HLA-DQA1
NFYB	HLA-DPA1
NFYB	HLA-DQA2
MAPK10	IL12A
MAPK13	TNF
RELA	IL1A
RELA	IL18
RELA	IL23A
RFX5	LOC100507709
RFXAP	HLA-DOA
MAPK12	IL1B
ELK1	TWF2
ETS2	TWF2
ETV4	PLAUR
FLI1	POLR2A
FOS	PLAUR
USF1	ABCA1
SP2	CCND1
SP3	CD14
EGR1	CD44
ETS1	CD79B
POU2F1	CD79B
NFKB1	CD83
SP1	CD83
SP3	CD83
EGR1	CD9
USF1	CEACAM6
USF2	CEACAM6
ATF1	CGA
USF1	CTSB
NFIC	CYP11A1
NFKB1	CYP11A1
SP1	CYP11A1
NFIC	CYP17A1
EGR1	EGFR
CREB1	F3
EGR1	FN1
NFKB1	FN1
RELA	FN1
ETV4	FOS
FLI1	FOS
ETS1	HMOX1
FLI1	HMOX1
NFIC	HMOX1
NFIC	HRAS
E2F4	HSP90B1
NFIC	HSPA1A
TFAP2A	HSPA1A
SP1	HSPA8
ESR1	HSPB1
SP1	HSPB1
CREB1	ICAM1
CREM	ICAM1
ATF1	JUN
ATF2	JUN
TFAP2A	KRT14
SP1	KRT18
POU2F1	LPL
NFKB1	LTA
PPARA	MMP9
USF2	PTPN6
SP1	SERPINE1
SP1	SOD1
PAX8	TG
USF1	THBS1
JUN	TNNC1
E2F4	TOP1
ERG	VIM
NFKB1	VWF
