HTR2A	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	STAT3
HRAS	MAPK14
MAPK14	CEBPB
MAPK1	ESR1
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
HRAS	RAF1
RAF1	NFKB1
HRAS	MAP3K1
MAP3K1	IKBKG
IKBKG	TBK1
TBK1	REL
HRAS	JUN
MAPK1	ETS1
MAPK1	TP53
RAF1	RELA
DRD2	GNAI1
GNAI1	MAPK1
GNAI1	MAPK14
GNAI1	RAPGEF3
RAPGEF3	PRKACA
MAPK1	NFKB1
DRD2	PPP2R3B
PPP2R3B	AKT3
AKT3	IKBKG
GNAI1	HRAS
MAPK1	RELA
HNF1A	HNF4A
RELA	TRAF1
PIK3CD	PDPK1
RXRG	EHHADH
IRF7	IFNA8
MYD88	IFNA7
NFYC	HLA-DMB
NFYC	HLA-DOA
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
CEBPA	ABCB1
CEBPB	ABCB1
SPI1	B2M
USF1	B2M
SP2	CCND1
SP2	CD14
ESR2	CD68
SPI1	CD68
POU2F2	CD79A
