SULT2B1	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
MAPK1	TP53
TP53	TP73
PRKCA	HRAS
HRAS	JUN
PRKCA	MTOR
MTOR	HIF1A
PRKCA	RAF1
RAF1	NFKB1
RAF1	RELA
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
HIF1A	ARNT
MAPK1	SMAD2
SMAD2	YAP1
PRKCA	PRKACA
PRKACA	GLI2
PRKACA	GLI3
SMAD2	WWTR1
MAPK1	STAT1
STAT1	MYD88
PRKCA	CREB1
RELA	BIRC2
GLI1	WNT7B
NPAS2	RORC
NPAS2	BHLHE40
CLOCK	RORA
EGR2	FASLG
FOS	MMP9
CREBBP	ALDOA
CREBBP	GAPDH
EP300	ALDOA
EP300	GAPDH
HIF1A	ALDOA
HIF1A	GAPDH
HIF1A	TEK
ARNT	ANGPT2
SMAD2	CTGF
SOS1	SPRY1
STAT5A	SOCS1
STAT6	PIM1
HNF1A	HNF4A
LEF1	MITF
PIK3CB	AKT1
RFX5	HLA-DRB4
RFX5	HLA-DRB5
RFXANK	HLA-DRB5
RFXANK	CD74
CREB3	AQP2
CREB3L4	AQP2
ATF2	CGA
NFKB1	CSNK2A1
CEBPB	CSRP1
STAT3	HMOX1
NFKB1	KLK3
PPARD	LIPA
WT1	ODC1
NFIC	PCK2
SP1	PDGFB
RARB	S100A9
NFKB1	SAA2
SP1	TAF7
CREB1	TF
CEBPA	TK1
CEBPB	TNF
SP1	TPI1
FOS	TSHB
SMAD3	ZFP36
