HTR4	GNAS
GNAS	SRC
SRC	HRAS
HRAS	FOS
GNAS	GNB5
GNB5	MAPK8
MAPK8	JUND
HRAS	JUN
SRC	STAT3
STAT3	ESR1
ESR1	SP1
SRC	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
SRC	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	CREB1
HTR2A	GNAQ
GNAQ	HRAS
HRAS	MAPK8
HRAS	MAPK1
MAPK1	ESR1
MAPK1	SMAD2
SMAD2	SP1
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HRAS	PIK3R5
MAPK1	CREB1
CREB3	PCNA
ATF6B	IL8
CREB3L1	PCNA
CREBBP	ENO1
CREBBP	VEGFB
EP300	ENO1
EP300	VEGFB
HIF1A	ENO1
MYD88	IFNA10
MAPK12	IL1B
USF1	CCNB1
USF2	CCNB1
ATF4	CGA
CREB1	CGA
PAX5	FCER2
CEBPA	FN1
SP1	RELA
RARA	S100A8
USF2	SP1
POU2F1	SPP1
FOS	TIMP1
STAT1	TIMP1
HIF1A	TP53
STAT1	TP53
