AGTR1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
HRAS	PIK3R5
PIK3R5	THRA
THRA	RXRA
RXRA	RARB
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PSEN1
PSEN1	ATF6
HRAS	JUN
MAPK1	TP53
HRAS	RAF1
RAF1	NFKB1
MAPK1	ELK1
ELK1	EGR1
PIK3R5	HIF1A
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HIF1A	ARNT
MAPK1	MYC
MAPK1	ETS1
HRAS	FOS
PPARG	RXRA
RXRA	THRA
THRA	CTNNB1
CTNNB1	CREBBP
CREBBP	SP1
RXRA	SREBF1
SREBF1	PKLR
PKLR	ADCY1
ADCY1	PRKACA
CTNNB1	LEF1
LEF1	JUN
CREBBP	TP53
RXRA	THRB
THRB	PIK3R5
PIK3R5	AKT3
AKT3	NFKB1
THRB	GATA4
GATA4	SRF
SRF	ELK1
THRB	HIF1A
CTNNB1	EP300
THRB	MYC
SRF	ETS1
PIK3R5	HRAS
RBPJ	FCER2
CTNNB1	CCND3
JUN	CCND2
RELA	IL6
CREB3L3	IL8
CREBBP	PFKL
CREBBP	TFRC
EP300	PFKL
EP300	TFRC
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
NFYB	HLA-DRB3
NFYB	HLA-DRB4
NFYB	HLA-DRB5
NFYC	LOC100507709
NFYC	HLA-DMB
NFYC	HLA-DOA
SP1	CAV1
SP3	CD14
EGR1	CD44
SP3	CDKN1A
USF2	CEACAM6
ATF1	CGA
USF1	CTSB
ETS1	DNTT
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
TFAP2A	GPX4
CREB1	GSTP1
FOS	GSTP1
SP1	GYPC
NFIC	HBA2
SP1	HBZ
RELA	HDAC2
E2F1	HIST1H2AM
TFAP2A	HMOX1
PPARG	PTGS2
MYC	PTMA
MYBL2	RBL1
NFIC	SFTPC
MYBL2	SP1
HOXA4	TH
CREB1	TIMP1
SMAD4	TNNC1
MYC	TP53
