AGTR1	GNAQ
GNAQ	DVL1
DVL1	LOC400927-CSNK1E
LOC400927-CSNK1E	YAP1
GNAQ	HRAS
HRAS	MAPK1
MAPK1	TP53
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PSEN1
PSEN1	ATF6
HRAS	PIK3R5
PIK3R5	HIF1A
MAPK1	SMAD2
SMAD2	SP1
MAPK1	CREB1
MAPK1	SMAD4
MAPK1	SMAD1
MAPK1	SMAD5
MAPK1	SMAD9
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HIF1A	ARNT
MAPK1	ELK1
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
HRAS	JUN
NFKB1	NFKB2
MAPK1	ATF2
MAPK1	MYC
PRKACA	XBP1
XBP1	CEBPA
MAPK1	ESR1
TP53	GADD45B
ZBTB17	CDKN2B
MYC	CCND1
RBPJ	FCER2
CTNNB1	CCND3
JUN	CCND2
RELA	IL6
CREB3L3	IL8
CREBBP	PFKL
CREBBP	TFRC
EP300	PFKL
EP300	TFRC
HIF1A	VEGFA
HIF1A	VEGFC
ARNT	ENO1
ARNT	LTBR
ARNT	NOS3
ARNT	PFKFB3
ARNT	PFKL
PAX6	GCK
VDR	ATP2B1
PIK3CB	AKT2
RBPJL	HES5
BBC3	TP53AIP1
TP53	IGFBP3
TP53	STEAP3
TP53	RPRM
TP53	RRM2
RXRA	ME1
RXRA	OLR1
RXRA	PCK1
RXRA	ANGPTL4
MYD88	IFNA6
MYD88	IFNA13
MYD88	IFNA14
NFYC	HLA-DMB
NFYC	HLA-DOA
MAPK8	NOS2
MAPK8	IL23A
MAPK11	IL1A
MAPK11	IL1B
MAPK11	IL6
SP1	ADA
SP1	CAV1
USF1	CTSB
POU5F1	HMGB2
TFAP2A	HMOX1
PPARA	NFKBIA
CEBPA	NFYB
NFIC	PLAT
PPARG	PTGS2
MYC	PTMA
MYBL2	RBL1
NFIC	SFTPC
MYBL2	SP1
HOXA4	TH
CREB1	TIMP1
SMAD4	TNNC1
MYC	TP53
