HTR4	GNAS
GNAS	SRC
SRC	STAT3
STAT3	ESR1
ESR1	SP1
SRC	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
SRC	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
SRC	HRAS
HRAS	JUN
GNAS	GNB5
GNB5	MAPK1
MAPK1	ETS1
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	CREB1
CREBBP	RBPJL
RBPJL	HES1
HES1	NEUROG3
NEUROG3	PAX6
PRKACA	ATF1
SRC	GRB2
GRB2	SOS1
GRB2	SOS2
SRC	RAC1
RAC1	NFKB1
MAPK1	ELK1
ELK1	EGR1
HRAS	FOS
GNB5	MAPK14
MAPK14	CEBPB
RAC1	RELA
MAPK1	SMAD3
PRKACA	XBP1
XBP1	CEBPA
MAPK1	TP53
STAT3	STAT1
STAT1	TRAF6
TRAF6	IRF5
PRKACA	PPARA
CTNNB1	LEF1
LEF1	YAP1
HTR2A	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HRAS	PIK3R5
MAPK1	CREB1
GNAQ	DVL1
DVL1	NOTCH1
NOTCH1	RBPJL
CAMK2A	ATF1
GNAQ	KRAS
KRAS	GRB2
HRAS	RAF1
RAF1	NFKB1
HRAS	MAPK14
RAF1	RELA
HRAS	PLCE1
PLCE1	PRKACA
HTR2A	CACNA1C
CACNA1C	INS
INS	NGFR
NGFR	TRAF6
DVL1	LOC400927-CSNK1E
LOC400927-CSNK1E	YAP1
CREB3L4	FOS
CREB3L2	FOS
TP53	GADD45G
NPAS2	PER2
CLOCK	RORC
LEF1	CCND1
VDR	TRPV5
MAPK11	CXCL1
RBPJL	CR2
SMAD3	MYC
NFATC2	TNF
NFKB1	TNF
CREBBP	HK1
CREBBP	LDHA
CREBBP	SERPINE1
EP300	HK1
EP300	LDHA
EP300	SERPINE1
HIF1A	HK1
HIF1A	LDHA
HIF1A	SERPINE1
ARNT	ALDOA
LEF1	CCND3
TCF7	AXIN1
TCF7	NKD1
TCF7L2	BIRC2
TCF7L2	AXIN2
TCF7L2	CCND2
SOS1	SPRY3
PAX6	GCK
RELA	PTGS2
RELA	TRAF2
RELB	CCL19
PIK3CD	AKT3
PIK3CG	AKT3
ETS1	IL8
RXRA	ACSBG1
RXRA	UCP1
RXRB	CPT1A
RXRB	CYP4A22
NFYA	HLA-DQB1
NFYA	HLA-DRA
NFYA	HLA-DRB1
NFYA	HLA-DRB3
NFYA	HLA-DRB4
NFYA	HLA-DRB5
NFYA	CD74
NFYB	LOC100507709
NFYB	LOC100507714
NFYB	LOC100509457
NFYB	HLA-DQA2
NFYC	HLA-DPA1
NFYC	HLA-DQA2
MAPK9	IL1A
RFXAP	HLA-DRB1
RFXAP	HLA-DRB3
USF2	ABCA1
SP1	CD99
E2F1	CDC25A
E2F4	CDC45
TFAP2A	CDKN1A
SP2	CEACAM1
USF1	CEACAM1
REL	CSF2
SP1	CYP17A1
SP3	CYP17A1
ETV4	ERBB2
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
STAT3	FOS
ETS1	FOSL1
E2F1	HIST1H2AM
POU5F1	HMGB2
STAT3	IRF1
SPI1	ITGB2
BCL3	NFKB2
BRCA1	PCNA
FOS	PDHA1
ETS1	PLAU
CREB1	POLD2
ETS1	PPP2R4
ATF4	PTGS2
SPI1	SCARB2
CEBPA	SERPINC1
PPARA	SERPINE1
EGR1	TFPI2
POU2F1	TFPI2
JUN	TFRC
EGR4	TNF
POU2F1	TNF
ERG	TNNC1
JUN	TXN
USF2	TYMS
HIF1A	VHL
