HRH1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
HRAS	JUN
MAPK1	ETS1
HRAS	FOS
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
MAPK1	CREB1
MAPK1	SMAD3
HRAS	MAPK8
MAPK8	JUND
MAPK1	SMAD4
MAPK1	STAT1
MAPK1	STAT3
MAPK8	JUNB
MAPK1	TP53
MAPK1	MYC
CAMK2A	ATF1
PIK3R5	MTOR
MTOR	PPARG
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
ETS1	SPI1
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
GNAQ	DVL1
DVL1	GSK3B
GSK3B	GLI1
GSK3B	GLI2
GSK3B	GLI3
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
PRKACA	PPARA
CREB3L3	ARC
CREB5	FOS
RELA	BIRC3
GLI1	PTCH1
GLI1	WNT8A
GLI1	WNT10A
VDR	TRPV5
NFKB1	CCL5
MAPK11	CXCL1
MAPK12	IL8
RBPJL	CR2
ATF2	PCNA
CREB3L4	PCNA
EP300	FASLG
IRF3	IFNB1
NFKB1	TNF
MAPK8	JUN
CREBBP	EDN1
CREBBP	EPO
CREBBP	FLT1
CREBBP	ANGPT1
CREBBP	SERPINE1
CREBBP	ANGPT4
EP300	EDN1
EP300	EPO
EP300	FLT1
EP300	ANGPT1
EP300	SERPINE1
EP300	ANGPT4
HIF1A	EDN1
HIF1A	EPO
HIF1A	FLT1
HIF1A	ANGPT1
HIF1A	SERPINE1
HIF1A	ANGPT4
STAT5A	SOCS2
STAT6	CCND1
CREB3L3	MITF
RELA	TRAF1
RELA	TRAF2
PIK3R5	AKT1
PIK3CD	PDPK1
PIK3CG	AKT3
PLCG2	EGFR
PIK3R3	AKT3
MYC	MMP1
MYC	VEGFB
RELA	TRAF4
FOXO3	BCL2L11
PPARA	ACAA1
PPARA	SCD5
PPARG	LPL
RXRA	SLC27A4
RXRA	PLTP
RXRB	ACSBG1
RXRB	SLC27A1
NFYA	LOC100509457
RFX5	HLA-DQB1
RFXAP	HLA-DRA
PPARG	SAT1
USF1	APOC3
USF2	APOC3
PPARG	APOE
USF2	APOE
USF2	CALCA
E2F4	CAV1
ESR2	CD68
SPI1	CD68
POU2F1	CD79A
POU2F2	CD79A
SP1	CD99
MYC	CDC25A
E2F1	CDC25A
E2F4	CDC45
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
CEBPA	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
JUN	IVL
ERG	JUN
PGR	KLK3
SP1	LCAT
PPARG	LIPA
MYB	MAT2A
CREB1	POLD2
ATF1	PPP2R4
ETS1	PPP2R4
ATF2	PTGS2
ATF4	PTGS2
RELA	S100A6
RARA	S100A9
TP53	S100B
RELA	SAA2
PPARA	SERPINE1
PPARD	SERPINE1
JUN	SPP1
NFIC	STMN1
CEBPA	TF
ESR1	TFF1
JUN	TFRC
ATF1	TG
SMAD4	TIMP1
E2F4	TK1
ATF2	TNF
CEBPD	TNF
ERG	TNNC1
ETS1	TNNC1
PAX5	TP53
WT1	TP53
STAT3	TRH
JUN	TSHB
HIF1A	VHL
PAX1	VHL
