SOAT1	CEL
CEL	PPAP2A
PPAP2A	PRKCE
PRKCE	ARAF
ARAF	MAPK1
MAPK1	MYC
PRKCE	MAPK8
MAPK8	SMAD3
SMAD3	SP1
PRKCE	PPP1CA
PPP1CA	CREB1
PRKCE	RAF1
RAF1	NFKB1
RAF1	RELA
NFKB1	NFKB2
MAPK8	TP53
CEL	DGKK
DGKK	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
DGKK	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
PLCB1	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
ANPEP	GGT1
GGT1	GPX6
GPX6	CYP2C8
CYP2C8	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
MAPK1	SMAD2
SMAD2	SP1
PRKCA	CREB1
PRKCA	RAF1
MAPK1	TP53
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
PRKCA	PRKACA
PRKCA	MTOR
MTOR	HIF1A
CREB3	FOSB
ATF6B	ARC
CREB3L4	PDYN
ATF4	ARC
CREB3L2	PDYN
CREB1	PCNA
ATF6B	IL8
CREBBP	CDKN1A
CREBBP	ENO1
EP300	CDKN1A
EP300	ENO1
HIF1A	CDKN1A
HIF1A	ENO1
STAT5A	CCND1
STAT6	MYC
HNF1A	HNF4A
MAPK1	CDK4
BBC3	TP53
TP53	RRM2B
TP53	PMAIP1
EPAS1	TGFB1
RXRA	ACADM
NFYB	HLA-DRB4
NFYB	CD74
NFYC	LOC100507709
RFXAP	HLA-DOA
RFXAP	HLA-DRB1
RFXAP	HLA-DRB3
NFKB1	REL
SP3	ABCA1
USF1	CCNB1
USF2	CCNB1
NFKB1	COL1A1
RELA	COL1A1
SP1	COL1A1
STAT5A	IFNG
TP53	IL8
STAT4	IRF1
CEBPA	ITGA2
CEBPA	IVL
SP1	RPL10
RARA	S100A8
ETS2	SPP1
POU2F1	SPP1
JUND	TIMP1
STAT1	TIMP1
NFKB1	TP53
STAT1	TP53
