HRH2	GNAS
GNAS	SRC
SRC	HRAS
HRAS	JUN
GNAS	GNB5
GNB5	MAPK1
MAPK1	ETS1
MAPK1	SMAD3
MAPK1	SMAD4
SRC	PIK3R5
PIK3R5	HIF1A
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	CREB1
SRC	STAT3
STAT3	ESR1
ESR1	SP1
STAT3	STAT1
GNB5	MAPK8
MAPK8	JUND
HRAS	FOS
SRC	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
HIF1A	ARNT
SRC	RAC1
RAC1	NFKB1
MAPK1	TP53
PIK3R5	AKT3
AKT3	CHUK
CHUK	IRF7
STAT1	MYD88
RAC1	RELA
MAPK8	JUNB
ETS1	SPI1
FOSB	RELA
MAPK8	JUN
CREBBP	ANGPT4
EP300	ANGPT4
HIF1A	ANGPT4
PIK3CB	AKT2
RXRB	CYP4A11
RXRB	DBI
RXRB	FABP3
RXRB	SLC27A1
RXRB	ME1
RXRG	SORBS1
RXRG	CPT1A
RXRG	CYP7A1
RXRG	FABP4
IRF7	IFNA10
MAPK11	IL12B
RFXAP	HLA-DRB5
USF1	APOA2
CEBPA	APOB
PPARA	APOB
ATF2	APOC3
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
CEBPA	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
TFAP2A	GH2
USF1	GH2
USF2	GH2
SP1	GJA1
NFIC	GOT1
ERG	HMOX1
TFAP2A	PENK
PPARD	SERPINE1
ATF1	TG
ETS1	TNNC1
PAX1	VHL
