DRD2	GNAI1
GNAI1	HRAS
HRAS	JUN
GNAI1	MAPK1
MAPK1	ETS1
MAPK1	MYC
GNAI1	MAPK14
MAPK14	MAX
HRAS	FOS
GNAI1	MAPK3
MAPK1	SMAD2
SMAD2	SP1
MAPK1	NFKB1
MAPK1	TP53
MAPK1	ELK1
ELK1	EGR1
GNAI1	PIK3R5
PIK3R5	HIF1A
GNAI1	RAPGEF3
RAPGEF3	PRKACA
PRKACA	XBP1
XBP1	CEBPA
ADRA1A	GNAQ
GNAQ	HRAS
HRAS	MAPK1
HRAS	MAPK14
HRAS	MAPK3
ADRA1A	PRKAG2
PRKAG2	CRTC2
CRTC2	CREBBP
CREBBP	SP1
PRKAG2	MTOR
MTOR	AKT3
AKT3	NFKB1
CREBBP	TP53
MTOR	HIF1A
MTOR	PRKCA
PRKCA	PRKACA
CALM1	HRAS
CALM1	CAMK2A
CAMK2A	CREBBP
HRAS	RAF1
RAF1	NFKB1
HRAS	PIK3R5
CALM1	ADCY1
ADCY1	PRKACA
CALM2	HRAS
CALM2	CAMK2A
CALM2	ADCY1
CALM3	HRAS
CALM3	CAMK2A
CALM3	ADCY1
TNNC1	TNNI3
TNNI3	TPM3
TPM3	HRAS
TNNC1	PLCD3
PLCD3	PRKCA
PRKCA	MAPK1
PLCD3	PIK3R5
PIK3R5	GSK3B
GSK3B	MYC
PRKCA	FOS
PRKCA	MAPK3
HIF1A	CREBBP
PIK3R5	AKT3
STAT3	SOCS2
STAT3	CCND3
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	AKT2
PIK3R1	PDPK1
PIK3R2	AKT1
RXRA	ACADL
NFYA	HLA-DQB1
NFYA	HLA-DRB1
NFYA	HLA-DRB4
NFYA	HLA-DRB5
NFYA	CD74
NFYB	LOC100507709
NFYB	LOC100507714
NFYB	LOC100509457
MAPK9	IL1A
SP1	CAV1
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
