ADRA2A	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	TP53
HRAS	JUN
MAPK1	ELK1
ELK1	EGR1
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
MAPK1	ESR1
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
MAPK1	CREB1
GNAQ	DVL1
DVL1	LOC400927-CSNK1E
LOC400927-CSNK1E	YAP1
MAPK1	MYC
MAPK1	ATF2
PIK3R5	MTOR
MTOR	PPARG
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
PRKACA	XBP1
XBP1	CEBPA
MAPK1	SMAD3
MAPK1	SMAD4
ELK1	BIRC2
ELK1	CCND1
JUN	CCND2
EGR3	FASLG
RELA	MMP9
CREB3L2	PCNA
CREB3L3	IL8
CREBBP	FIGF
CREBBP	PGF
CREBBP	SLC2A1
CREBBP	TFRC
EP300	FIGF
EP300	PGF
EP300	SLC2A1
EP300	TFRC
HIF1A	FIGF
HIF1A	SLC2A1
ARNT	EGF
ARNT	ANGPT4
ARNT	PFKFB1
ARNT	PGK1
STAT2	CCND1
STAT2	SOCS1
STAT2	SOCS2
STAT5A	CCND1
STAT5A	SOCS2
STAT6	MYC
STAT6	CCND1
HNF1A	FOXA3
HNF1A	HNF4G
ETS1	MMP1
CREB3	BCL2
PPARA	LPL
PPARG	PLIN1
NFYB	HLA-DPA1
NFYC	HLA-DMB
NFYC	HLA-DOA
MAPK11	IL18
MAPK11	NOS2
MAPK9	IL12A
MAPK9	IL12B
RELA	CEBPB
RELA	IL1A
RELA	IL18
MYB	TSC22D3
MYBL1	TSC22D3
MYBL2	CDKN1C
USF2	CEACAM6
ATF1	CGA
TFAP2A	ERBB2
BRCA1	ESR1
PPARG	ESR1
STAT5A	ESR1
STAT5B	ESR1
ESR1	PTMA
USF2	PTPN6
MYBL2	RBL1
RARG	S100A9
ETS1	SLC26A3
SP1	SOD1
MYBL2	SP1
TFAP2A	TAF7
HOXA5	TH
USF1	THBS1
CREB1	TIMP1
ATF1	TNF
SP3	TNNC1
E2F4	TOP1
MYC	TP53
CREB1	TRH
ATF6	XBP1
