HTR2A	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	SMAD3
MAPK1	SMAD4
GNAQ	DVL1
DVL1	LOC400927-CSNK1E
LOC400927-CSNK1E	YAP1
LOC400927-CSNK1E	WWTR1
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
MAPK1	TP53
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
HRAS	PIK3R5
PIK3R5	MTOR
MTOR	PPARG
DRD2	GNAI1
GNAI1	MAPK1
DRD2	PPP2CA
PPP2CA	YAP1
PPP2CA	WWTR1
MAPK1	NFKB1
MAPK1	RELA
GNAI1	RAPGEF3
RAPGEF3	PRKACA
GNAI1	PIK3R5
GLI3	BMP2
HIF1A	PGK1
ARNT	FLT1
ARNT	SERPINE1
ARNT	PDK1
ARNT	PFKFB2
YAP1	BIRC2
YAP1	SNAI2
WWTR1	BBC3
STAT4	SOCS2
STAT5B	SOCS1
VDR	TRPV6
NFKB1	GADD45B
FOS	MMP1
NFKB1	TRAF4
MAPK9	IL12B
RFXAP	HLA-DOA
ETS2	TWF2
FLI1	POLR2A
PPARA	MMP9
NFKB1	VWF
