HTR2A	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	TP53
MAPK1	ELK1
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	ATF1
MAPK1	CREB1
MAPK1	SMAD2
SMAD2	SP1
HRAS	JUN
GNAQ	DVL1
DVL1	GSK3B
GSK3B	GLI1
GSK3B	GLI2
GSK3B	GLI3
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
DRD2	GNAI1
GNAI1	MAPK1
MAPK1	CREB3
CREB3	ATF1
GNAI1	HRAS
GNAI1	PIK3R5
PIK3R5	GSK3B
DRD2	PPP2CA
PPP2CA	YAP1
YAP1	GLI2
GNAI1	RAPGEF3
RAPGEF3	PRKACA
CREB5	ARC
RELA	BIRC8
GLI1	WNT4
GLI1	WNT7A
GLI1	WNT9B
GLI2	BMP2
EPAS1	TGFA
RXRB	ACAA1
MYD88	IFNA13
MYD88	IFNA14
NFYB	HLA-DRB1
RFXAP	HLA-DRB1
RFXAP	HLA-DRB3
RFXANK	HLA-DOB
RFXANK	HLA-DPA1
RFXANK	HLA-DPB1
RFXANK	HLA-DQA1
SP2	CD14
USF1	CTSB
NFIC	CYP17A1
ESR1	GADD45B
RARA	GADD45B
CREB1	GH2
EGR1	JUN
SP1	JUN
TFAP2A	KRT5
PPARA	LIPA
JUN	MAT2A
RARA	MIF
