TACR1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	STAT3
HRAS	JUN
MAPK1	ETS1
HRAS	FOS
MAPK1	MYC
HRAS	RAF1
RAF1	NFKB1
MAPK1	TP53
MAPK1	CREB1
HRAS	PIK3R5
PIK3R5	HIF1A
HRAS	MAPK3
HRAS	MAP3K1
MAP3K1	IKBKG
IKBKG	TBK1
TBK1	REL
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HIF1A	ARNT
HRAS	MAPK8
MAPK8	JUND
RAF1	RELA
HRAS	MAPK14
MAPK14	CEBPB
MAPK1	ELK1
ELK1	EGR1
MAPK1	SMAD3
MAPK14	MAX
MAPK1	SMAD4
CREB3	FOSB
CREB3L1	BDNF
CREB5	BDNF
NFKB1	TNF
MAPK8	JUN
CREBBP	SERPINE1
CREBBP	ANGPT4
EP300	SERPINE1
EP300	ANGPT4
HIF1A	SERPINE1
HIF1A	ANGPT4
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
FOXO1	PCK1
SOS1	SPRY3
STAT3	SOCS2
STAT3	CCND3
PAX6	INS
CREBBP	MITF
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
RXRA	ACADL
RXRB	OLR1
NFYA	HLA-DQA1
NFYB	HLA-DRB3
NFYB	HLA-DRB4
NFYB	CD74
NFYC	LOC100507709
RFX5	LOC100507709
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
RFXANK	HLA-DMA
USF2	ABCA1
USF2	CALCA
E2F4	CAV1
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
ESR1	FOS
ESR2	FOS
ETS2	FOS
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARD	GADD45A
STAT5A	IFNG
STAT3	IL2RA
CEBPB	IL4
PPARA	SERPINE1
PPARD	SERPINE1
JUN	TFRC
ATF1	TG
ERG	TNNC1
ETS1	TNNC1
HIF1A	VHL
PAX1	VHL
ETS1	VWF
ETS2	VWF
NFIC	VWF
