GLI3	WNT16
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
TCF7	BIRC5
CTNNB1	CCND2
NFKB1	TNF
MAPK9	JUN
MAPK10	SMAD4
CREBBP	SERPINE1
CREBBP	PFKFB1
CREBBP	PFKFB4
EP300	SERPINE1
EP300	PFKFB1
EP300	PFKFB4
HIF1A	SERPINE1
HIF1A	PFKFB1
ARNT	CDKN1A
ARNT	EDN1
ARNT	FIGF
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	ID3
YAP1	CCND1
YAP1	AXIN2
WWTR1	FGF1
WWTR1	AREG
SMAD1	ID4
SMAD4	ID2
LEF1	CCND3
TCF7	SNAI2
TCF7	CCND2
TCF7L2	BIRC2
TCF7L2	SOX2
TCF7L2	CCND3
TEAD1	GLI2
TEAD1	SOX2
TEAD1	CCND2
TEAD4	MYC
TEAD4	AXIN1
TEAD3	CTGF
TEAD3	BIRC5
TEAD3	AXIN2
TP73	BBC3
TCF7L1	AXIN2
TEAD2	CTGF
TEAD2	CCND1
TEAD2	AXIN2
SMAD4	SLC2A1
NFKB1	IL1B
NFKB1	PLAU
NFKB1	TRAF1
NFKB2	TNFSF13B
RELB	ICAM1
PIK3CG	PDPK1
JUN	PGF
NFKB2	XIAP
CREB1	BCL2
CREB5	MCL1
PPARA	ACOX1
PPARD	ACOX3
PPARG	UCP1
NFYB	LOC101060835
NFYB	HLA-DMA
MAPK10	TNF
MAPK13	IL1A
MAPK13	IL1B
MAPK13	IL12B
MAPK13	IL18
MAPK13	NOS2
USF2	B2M
ATF2	CDKN1A
CEBPA	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
PAX5	FCER2
CEBPA	FN1
ESR2	FOS
ETS2	FOS
JUN	MMP7
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
ETS2	PLAU
USF2	PTGS2
PPARA	SERPINE1
SP1	SERPINE1
POU2F1	SFTPA1
JUN	TFRC
PAX8	TG
CREM	TH
ERG	TNNC1
JUN	TNNC1
SMAD3	TNNC1
HIF1A	VHL
ERG	VIM
