KCNMA1	CACNA1C
CACNA1C	INS
INS	KIT
KIT	STAT3
CACNA1C	CALML6
CALML6	HRAS
HRAS	JUN
INS	MAPK1
MAPK1	SMAD2
SMAD2	YAP1
INS	EGFR
EGFR	SOS1
EGFR	SOS2
CALML6	CAMK2A
CAMK2A	CREBBP
CREBBP	LEF1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
CAMK2A	STAT1
MAPK1	NFKB1
HRAS	MAPK14
MAPK14	CEBPB
CREBBP	TCF7
CREBBP	TCF7L2
CREBBP	TCF7L1
HRAS	MAP3K1
MAP3K1	IKBKG
IKBKG	TBK1
TBK1	REL
MAPK1	RELA
KIT	STAT5A
KIT	STAT5B
CREBBP	STAT2
CREBBP	STAT4
CREBBP	STAT6
CREBBP	SP1
CALML6	ADCY1
ADCY1	PRKACA
PRKACA	PPARA
MAPK1	ETS1
CAMK2A	CREB1
MAPK1	ELK1
ELK1	EGR1
INS	PIK3R5
PIK3R5	HIF1A
MAPK1	SMAD4
MAPK1	ESR1
MAPK1	SMAD3
INS	NR1H3
NR1H3	RXRA
RXRA	RARB
MAPK1	TP53
LEF1	MYC
TCF7	BIRC5
EP300	EPO
HIF1A	PGK1
ARNT	FIGF
ARNT	SERPINE1
ARNT	PDK1
ARNT	PFKFB2
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	BIRC2
YAP1	CCND1
YAP1	SNAI2
WWTR1	FGF1
WWTR1	BBC3
SMAD1	ID4
SMAD4	ID2
TCF7	BIRC2
TCF7	CCND2
TCF7L2	SNAI2
TCF7L2	CCND3
TEAD1	SOX2
TEAD4	MYC
TEAD3	CTGF
TEAD3	AXIN2
TCF7L1	AXIN2
TEAD2	CCND1
SMAD4	SLC2A1
STAT4	CCND3
STAT4	SOCS3
STAT5B	CCND2
STAT5B	CCND3
FOS	PGF
MYD88	IFNA10
MAPK1	TNF
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
RFXAP	HLA-DOA
RFXAP	HLA-DPB1
RFXAP	HLA-DQA1
RFXAP	HLA-DQA2
RFXAP	HLA-DQB1
NFAT5	PTGS2
SP1	CAV1
SP3	CD14
EGR1	CD44
USF2	CEACAM5
ESR1	CGA
ETS2	CGA
USF1	CHI3L1
MYBL2	COL1A1
STAT3	CSRP1
MYC	CSTB
NFKB1	CTSB
RELA	CTSB
SP3	DNASE2
STAT1	EGFR
PAX5	FCER2
CEBPA	FN1
TFAP2A	GH2
USF1	GH2
USF2	GH2
JUN	GJA1
SP1	GJA1
NFIC	GOT1
EGR1	PLAU
ETS2	PLAU
E2F4	TK1
NFKB1	VWF
