NR3C2	KRAS
KRAS	MAPK1
MAPK1	CREB1
MAPK1	TP53
MAPK1	CREB3
MAPK1	CREB3L2
MAPK1	CREB3L1
KRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
KRAS	RAF1
RAF1	NFKB1
RAF1	RELA
MAPK1	SMAD2
SMAD2	E2F4
SMAD2	SP1
MAPK1	ATF2
AR	PRKACA
PRKACA	CREB1
PRKACA	NFKB1
NFKB1	TP53
PRKACA	CREB3
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	CREBBP
PRKACA	EP300
PRKACA	RELA
PRKACA	MAPK1
CREBBP	SP1
PRKACA	ATF2
PGR	PRKACA
PGR	MAPK8
MAPK8	TP53
MAPK8	NFKB1
MAPK8	RELA
MAPK8	SMAD3
SMAD3	E2F4
SMAD3	SP1
MAPK8	ATF2
CYP11B2	HSD11B1
HSD11B1	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	CREB1
PRKCA	MAPK1
PRKCA	CREB3
PRKCA	CREB3L2
PRKCA	CREB3L1
CREB3	CREBBP
CREB3	EP300
PRKCA	RAF1
HSD11B1	CHRNA7
CHRNA7	JAK2
JAK2	STAT3
STAT3	ESR1
ESR1	SP1
PRKCA	ATF2
SRD5A1	UGT2B11
UGT2B11	CYP2E1
UGT2B11	UGDH
UGDH	GYS1
GYS1	OGT
OGT	CRTC2
CRTC2	CREBBP
CRTC2	EP300
OGT	AKT3
AKT3	NFKB1
AKT3	RELA
OGT	FOXO1
FOXO1	RBL2
RBL2	E2F4
SRD5A1	AKR1C2
AKR1C2	CHRNA7
SRD5A2	UGT2B11
SRD5A2	AKR1C2
SRD5A3	UGT2B11
SRD5A3	AKR1C2
CACNG1	RASGRP3
RASGRP3	HRAS
HRAS	MAPK1
HRAS	PIK3R5
HRAS	RAF1
CACNA2D1	RASGRP3
CACNA2D2	RASGRP3
CACNA2D3	RASGRP3
CACNA1C	CALML6
CALML6	CAMK2A
CAMK2A	CREB1
CACNA1C	INS
INS	MAPK1
CAMK2A	CREB3
CAMK2A	CREB3L2
CAMK2A	CREB3L1
CAMK2A	CREBBP
CAMK2A	EP300
MAPK1	NFKB1
MAPK1	RELA
CAMK2A	ATF2
CACNA1D	CALML6
CACNA1D	INS
CACNA1F	PLCD3
PLCD3	PRKCA
CACNA1F	RASGRP3
PLCD3	PIK3R5
CACNA1S	PLCD3
CACNA1S	RASGRP3
CACNB1	RASGRP3
CACNB2	RASGRP3
CACNB3	RASGRP3
CACNB4	RASGRP3
CACNA1B	INS
INS	PIK3R5
CACNA1A	PRKCA
CACNA1G	CALML6
CACNA1G	INS
CACNA1H	CALML6
CACNA1H	NOS1
NOS1	MAPK1
CACNA1I	CALML6
CACNA1I	NOS1
CREB3L1	BDNF
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
RBPJL	MYC
RBPJ	MYC
STAT2	PIM1
STAT2	CCND1
STAT2	SOCS1
STAT2	SOCS2
STAT3	SOCS4
STAT3	SOCS1
PAX6	GCK
CREB3	MITF
MAPK3	CCND1
NFYB	HLA-DRB4
NFYB	CD74
NFYC	LOC100507709
EGR1	COL2A1
SP3	COL2A1
STAT3	IL2RA
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
CREB1	PTGS2
REL	PTGS2
