SULT2B1	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
MAPK1	TP53
PRKCA	RAF1
RAF1	NFKB1
RAF1	RELA
PRKCA	HRAS
HRAS	JUN
PRKCA	FOS
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
PRKCA	MTOR
MTOR	HIF1A
HIF1A	ARNT
CREB3	ATF1
PRKCA	CREB1
PRKCA	ATF2
NFKB1	NFKB2
MAPK1	SMAD2
SMAD2	SP1
PRKCA	PRKACA
PRKACA	PPARA
ELK1	CCND2
CREB1	PCNA
STAT1	MYD88
CREBBP	CDKN1A
CREBBP	TEK
EP300	CDKN1A
EP300	TEK
HIF1A	CDKN1A
HIF1A	PFKFB4
HIF1A	PFKL
STAT4	CCND3
STAT5A	SOCS1
STAT5B	SOCS4
STAT5B	CCND2
STAT6	PIM1
MAPK3	CCND1
VDR	ATP2B1
TP53	SERPINE1
MAPK13	TNF
RELA	CEBPB
RELA	IL1A
USF2	CEACAM5
SPI1	CHI3L1
USF1	CHI3L1
JUN	COL1A1
MYBL2	COL1A1
RELA	CSF2
RELA	CSF3
ETS1	CSNK2A1
JUND	F3
TP53	PTTG1
SP1	RPL10
WT1	SOD1
ETS2	SPP1
USF2	THBS1
JUND	TIMP1
CEBPB	TOP1
NFKB1	TP53
ETS1	VWF
ETS2	VWF
