SULT2B1	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	HRAS
HRAS	JUN
PRKCA	MAPK1
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
MAPK1	SMAD2
SMAD2	SP1
HRAS	MAPK14
MAPK14	CEBPB
PRKCA	PRKACA
PRKACA	XBP1
XBP1	CEBPA
PRKCA	RAF1
RAF1	NFKB1
MAPK1	ELK1
ELK1	EGR1
RAF1	RELA
PRKCA	MAPK3
HRAS	MAPK11
HRAS	MAPK13
HRAS	MAPK8
HRAS	MAPK9
HRAS	MAPK10
RXRB	GK
RXRB	ACADL
RXRB	APOA2
RXRB	ACOX2
EGR1	CCL5
MAX	CCND1
SMAD5	ID3
FOS	IL12A
FOS	CCL4L1
IRF5	IL8
IRF7	IFNA2
CREB1	HLA-DRB5
MAPK14	IL6
MAPK14	NOS2
MYD88	IFNA2
NFYB	HLA-DRB3
NFYB	HLA-DRB4
NFYB	CD74
NFYC	LOC100507709
NFYC	LOC100507714
NFYC	LOC100509457
NFYC	LOC101060835
SP1	CD9
JUN	F3
JUND	F3
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
USF1	GH2
USF2	GH2
