AR	PRKACA
PRKACA	XBP1
XBP1	CEBPA
PRKACA	NFKB1
NFKB1	CEBPB
PRKACA	MAPK1
MAPK1	JUN
MAPK1	ETS1
ETS1	SPI1
PRKACA	RELA
PRKACA	PPARA
PPARA	RXRA
PRKACA	CREBBP
CREBBP	RXRB
CREBBP	RXRG
NFKB1	NFKB2
NFKB1	TP53
PRKACA	CREB1
NFKB1	HIF1A
CREBBP	SP1
PRKACA	EP300
CREBBP	ARNT
NFKB1	TRAF3
TRAF3	TBK1
TBK1	REL
MAPK1	FOXO3
FOXO3	BCL6
NFKB1	IFNG
MAPK1	MYC
NFKB1	PPP2CA
PPP2CA	YAP1
PRKACA	CTNNB1
CTNNB1	LEF1
LEF1	PPARD
MAPK1	ELK1
ELK1	EGR1
PRKACA	CREM
STAT3	CPT1C
TP53	GADD45G
RBPJ	FCER2
CTNNB1	CCND3
RELA	IL6
CREBBP	PFKL
EP300	PFKL
HIF1A	BCL2
STAT5A	CCND3
VDR	SLC34A2
RBPJ	PTCRA
TP53	SHISA5
TP53	PTEN
NFKB1	FIGF
NFKB1	PGF
ETS1	IL8
ETS1	VEGFC
HIF1A	PDGFB
JUN	FIGF
NFKB2	BIRC7
CREB3	MCL1
FOXO3	G6PC2
ATF4	BCL2
PPARA	FABP1
PPARA	SLC27A1
PPARD	CPT1A
PPARD	ACADL
PPARG	ACSL4
PPARG	ACSL5
RXRA	CYP4A11
RXRA	CYP27A1
NFYB	HLA-DQB1
NFYB	HLA-DRA
NFYC	LOC100507714
NFYC	LOC100509457
NFYC	LOC101060835
EGR1	ABCB1
EGR2	ABCB1
ETS1	ABCB1
HIF1A	ABCB1
JUN	ABCB1
NFKB1	ABCB1
SP1	ABCB1
TP53	ABCB1
WT1	ABCB1
WT1	BCL2
HIF1A	BNIP3
NFIC	C4BPB
USF1	CALCA
STAT3	CDKN1A
TFAP2A	CDKN1A
SP2	CEACAM1
USF1	CEACAM1
USF2	CEACAM1
SP1	DKC1
TFAP2A	GPX4
CREB1	GSTP1
SP1	GYPC
NFIC	HBA2
SP1	HBZ
RELA	HDAC2
MYC	ID2
BCL3	NFKB2
PPARG	PTGS2
MYC	PTMA
NFIC	SFTPC
HOXA4	TH
SMAD4	TNNC1
POU2F1	VWF
