HRH2	GNAS
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	PPARA
GNAS	SRC
SRC	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
SRC	HRAS
HRAS	JUN
SRC	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
PIK3R5	HIF1A
HIF1A	ARNT
GNAS	GNB5
GNB5	MAPK1
MAPK1	ETS1
PRKACA	CREB1
MAPK1	SMAD2
SMAD2	E2F4
EGR2	FASLG
NFKB1	TNF
MAPK9	SMAD4
CREBBP	ALDOA
CREBBP	SERPINE1
CREBBP	PFKFB2
EP300	ALDOA
EP300	SERPINE1
EP300	PFKFB2
HIF1A	ALDOA
HIF1A	SERPINE1
HIF1A	PFKFB2
RELB	CCL13
PIK3R1	AKT3
EPAS1	PDGFB
ETS1	CCND1
NFKB2	TRAF2
CREB3L4	BCL2
PPARA	CYP7A1
PPARA	UCP1
PPARG	CYP27A1
RXRA	SORBS1
MAPK10	IL12A
ETS1	CD79B
SP1	CD83
ATF2	CGA
REL	EGFR
ESR1	FOS
ESR2	FOS
ETS2	FOS
PPARG	GADD45A
RARB	S100A9
PPARA	SERPINE1
USF2	SERPINE1
SP1	TAF7
JUN	TFRC
ATF1	TH
CEBPA	TK1
ERG	TNNC1
NFKB1	TNNC1
SP1	TPI1
HIF1A	VHL
ETV4	VIM
