COMT	MAOA
MAOA	CYP2C19
CYP2C19	PLA2G4B
PLA2G4B	PRKCA
PRKCA	PRKACA
PRKACA	XBP1
XBP1	CEBPA
PRKCA	MAPK1
MAPK1	ETS1
PRKCA	HRAS
HRAS	JUN
PRKCA	FOS
MAPK1	STAT1
MAPK1	TP53
PRKCA	MTOR
MTOR	HIF1A
MAPK1	MYC
MAPK1	SMAD2
SMAD2	SP1
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
HIF1A	ARNT
PRKACA	PPARA
PRKCA	MAP3K1
MAP3K1	CHUK
CHUK	IRF7
STAT1	MYD88
MAPK1	STAT3
ETS1	SPI1
PRKCA	RAF1
RAF1	NFKB1
RAF1	RELA
ELK1	CCND3
MAPK8	SMAD4
TP53	CDKN1B
CREBBP	PDK1
CREBBP	TF
EP300	PDK1
EP300	TF
HIF1A	PDK1
TEAD1	CCND1
TEAD4	CCND2
EP300	MITF
NFKB1	CXCL2
NFKB1	NFKBIA
NFKB1	TNFAIP3
NFKB1	CCL4L1
RELA	TRAF1
RELB	TNFSF13B
PIK3R5	AKT1
PIK3R5	PDPK1
PIK3CD	PDPK1
PIK3CG	AKT2
PLCG2	EGFR
PIK3R3	AKT2
FOS	PGF
RXRB	CYP7A1
RXRB	CYP8B1
RXRB	CYP27A1
RXRB	FABP4
RXRB	FABP3
RXRG	SLC27A4
RXRG	APOA5
RXRG	CPT1C
RXRG	CPT2
RXRG	CYP7A1
NFYA	HLA-DPA1
NFYB	HLA-DPA1
NFYC	HLA-DRA
NFYC	HLA-DRB1
SPI1	B2M
USF1	B2M
ESR2	CD68
SPI1	CD68
POU2F1	CD79A
POU2F2	CD79A
E2F4	RBL1
PPARG	SERPINE1
ESR1	SP1
CREB1	TG
WT1	THBS1
FLI1	TNNC1
USF2	TOP3A
TFAP2A	VHL
