CYP51A1	TM7SF2
TM7SF2	DHCR24
DHCR24	CEL
CEL	PPAP2A
PPAP2A	PRKCE
PRKCE	RAF1
RAF1	RELA
RAF1	NFKB1
PRKCE	MAPK8
MAPK8	ELK1
ELK1	EGR1
PRKCE	ARAF
ARAF	MAPK14
MAPK14	CEBPB
MAPK8	SMAD3
SMAD3	SP1
MAPK8	JUN
MAPK8	FOS
ARAF	MAPK1
ARAF	MAPK3
CEL	DGKK
DGKK	PLCB1
PLCB1	CAMK2A
CAMK2A	STAT1
STAT1	MYD88
PRKCE	PPP1CA
PPP1CA	CREB1
MAPK8	ATF2
ARAF	MAPK11
ARAF	MAPK13
PRKCE	MAPK9
PRKCE	MAPK10
DGKK	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
NR3C2	ATP1A2
NR3C2	ATP1B1
NFKB1	CCL5
MAPK11	IL8
MAPK12	IL8
RBPJL	FCER2
SOS1	SPRED3
SOS1	SPRY4
RXRA	PLTP
RXRA	SCD5
RXRB	ACSBG1
RXRB	ACAA1
RXRB	SCD5
RXRB	CD36
RXRG	FADS2
MAPK8	IL8
MAX	CDK4
SMAD2	PITX2
SMAD5	ID1
SMAD9	ID3
FOS	IL1B
FOS	CCL3
FOS	CCL5
IRF3	CD80
IRF5	IL1B
IRF5	CCL3
IRF5	TNF
IRF7	IFNA7
NFYB	HLA-DRB3
NFYB	HLA-DRB4
NFYB	CD74
NFYC	LOC100507709
MAPK8	IL12A
USF2	APOC3
ESR1	APOE
PPARG	APOE
USF1	APOE
TFAP2A	CYP11A1
STAT1	EGFR
PPARA	GADD45B
PPARD	GADD45B
PPARG	GADD45B
CREB1	GH2
CEBPB	IL5
JUN	IL5
ATF1	PPP2R4
NFKB1	PPP2R4
ATF2	PTGS2
CEBPB	PTGS2
