HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	MAPK1
MAPK1	STAT3
MAPK1	SMAD2
SMAD2	SP1
HRAS	JUN
HRAS	MAPK14
MAPK14	CEBPB
HRAS	MAP3K1
MAP3K1	IKBKG
IKBKG	TBK1
TBK1	REL
MAPK1	CREB1
HRAS	PIK3R5
PIK3R5	HIF1A
MAPK1	SMAD4
MAPK1	STAT1
MAPK1	ETS1
HRAS	FOS
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
HRAS	MAPK8
MAPK8	JUND
MAPK1	SMAD3
MAPK8	JUNB
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
ITGB2	SRC
SRC	STAT3
ITGB2	PIK3R5
CREBBP	SP1
PIK3R5	AKT3
AKT3	JUN
ITGB2	PTK2
PTK2	MAPK14
AKT3	IKBKG
AKT3	CREB1
PTK2	MAPK1
STAT3	STAT1
PIK3R5	HRAS
MAPK14	JUND
MAPK14	JUNB
AKT3	NFKB1
AKT3	RELA
PIK3R5	PLCE1
MAPK8	JUN
CREBBP	ANGPT4
EP300	ANGPT4
HIF1A	ANGPT4
STAT4	CCND3
STAT5B	CCND2
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
CREB3L2	AQP2
CREB3L3	AQP2
MYB	TSC22D3
MYBL1	TSC22D3
USF2	CEACAM5
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
CEBPA	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
PPARD	SERPINE1
ATF1	TG
ETS1	TNNC1
PAX1	VHL
