DRD2	GNAI1
GNAI1	MAPK1
MAPK1	TP53
GNAI1	RAPGEF3
RAPGEF3	PRKACA
PRKACA	XBP1
XBP1	CEBPA
MAPK1	CREB1
PRKACA	PPARA
GNAI1	PIK3R5
PIK3R5	MTOR
MTOR	PPARG
MAPK1	CREB3
CREB3	ATF1
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
DRD1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
DRD1	GNAS
GNAS	ADCY1
ADCY1	PRKACA
HRAS	PIK3R5
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	ATF1
CALM1	HRAS
CALM1	ADCY1
CALM1	CAMK2A
CAMK2A	CREB1
CAMK2A	CREBBP
CREBBP	RXRA
CREBBP	RXRB
CREBBP	RXRG
CALM2	HRAS
CALM2	ADCY1
CALM2	CAMK2A
CALM3	HRAS
CALM3	ADCY1
CALM3	CAMK2A
GLI3	PTCH1
EPAS1	VEGFB
FOS	MMP2
NFKB2	BIRC8
PIAS2	CDKN2B
CREB3L2	MCL1
PPARA	HMGCS2
PPARD	ACOX1
PPARG	MMP1
RXRA	FABP4
RFXANK	HLA-DOB
RFXANK	HLA-DPA1
RFXANK	HLA-DQA1
CREB5	AQP2
TCF7L1	PPARD
CEBPA	TSC22D3
CREB1	CD55
USF1	CTSB
RARA	GADD45A
ETV4	MMP9
