CYP51A1	TM7SF2
TM7SF2	DHCR24
DHCR24	CEL
CEL	PPAP2A
PPAP2A	PRKCE
PRKCE	ARAF
ARAF	MAPK1
MAPK1	MYC
PRKCE	MAPK8
MAPK8	TP53
MAPK8	SMAD3
SMAD3	E2F4
PRKCE	RAF1
RAF1	NFKB1
NFKB1	MYB
RAF1	RELA
PPAP2A	PRKCD
PRKCD	SRC
SRC	STAT3
SMAD3	SP1
MAPK8	JUN
CEL	DGKK
DGKK	PLCB1
PLCB1	CAMK2A
CAMK2A	STAT1
PRKCE	TJP1
TJP1	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
PRKCE	PPP1CA
PPP1CA	YAP1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
ARNT	EDN1
YAP1	ID3
YAP1	AXIN2
WWTR1	AREG
TEAD1	GLI2
TEAD4	AXIN1
PIK3R2	AKT1
NFYA	HLA-DQA1
E2F4	CDK1
ETS2	CDK1
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
SP1	CDKN1A
USF2	CEACAM6
ATF1	CGA
EGR1	EGFR
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
