HTR4	GNAS
GNAS	SRC
SRC	STAT3
GNAS	GNB5
GNB5	MAPK14
MAPK14	CEBPB
STAT3	ESR1
ESR1	SP1
SRC	HRAS
HRAS	JUN
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
SRC	PIK3R5
PIK3R5	HIF1A
GNB5	MAPK1
MAPK1	TP53
HTR2A	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	STAT3
HRAS	MAPK14
MAPK1	SMAD2
SMAD2	SP1
HRAS	PLCE1
PLCE1	PRKACA
HRAS	PIK3R5
GLI3	WNT16
TCF7	BIRC5
CREBBP	PFKFB4
CREBBP	HKDC1
TEAD3	CTGF
CREB1	MITF
MITF	TYR
NFYB	HLA-DPA1
NFYC	LOC100507714
NFYC	LOC100509457
NFYC	LOC101060835
MAPK10	IL23A
MAPK13	IL1B
MAPK13	IL18
MAPK13	NOS2
RFXAP	LOC100509457
RFXAP	HLA-DMA
USF1	XRCC6
TP53	CAV1
ETV4	ERBB2
JUN	MMP7
ETS2	PLAU
CREM	TH
JUNB	TIMP1
